policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0,0.0,5.592086859498194,0.0,745.8225138099522,0.8169310403523202,0.15535240365266645,5.092368781408549,1.2355417975075256,1.3576222522099906,0.0,0.0,0.0,0.26583607557721123,0.22225598158957405,4.828442972365558,0.28894181982967565,0.23030022743376893,3.401339512248119,0.26215314494536507,0.21847163893883967,3.9916002999230478,4.828442972365558,0.28894181982967565,0.026788674884310575,0.5626186457360813,0.7642987537770427,0.7465274790239343,0.9621763970082675,0.5304114704084905,0.7396275032219015,0.886160726734176,0.7007291954833146,4.593494278694514,0.8803418237481627,0.7046269527764374,0.8984642814341492,0.7311175560712093,0.8799646208370068,0.6518804061472899,0.8862569086731064,0.8984642814341492,0.6958749716649789,4.578514040182308,4.622195692310763,4.579773103590472,5.799082110714581e-05,22.08874901827394,0,1.5,4800,6300.0,0.9440792632216387,745.8226179450946,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.9282638405162683,0.8920568123632648,0.8129879624571326,1500,500,500,500,1|1|1,True,True,-
dlinear,0.0,0.0,5.592086859498023,0.0,745.82251380998,0.8128146804972592,0.1577822435891129,5.35584028376121,1.234586701819072,1.3575623926784501,0.0,0.0,0.0,0.2669699021040698,0.22643291707383797,5.091914474718219,0.2822579415367795,0.2253533442240786,2.9302699020546985,0.263586836856415,0.2205254467570279,4.2591593995017485,5.091914474718219,0.2822579415367795,0.018671104680364543,0.5746749334697034,0.7671293217276617,0.7440601275969266,0.9597715182732864,0.5315288686127183,0.7466044460821183,0.8947202397746681,0.6717907373814151,4.67923511986147,0.8861042125027403,0.6509506692454657,0.9141219501978485,0.7027631568525672,0.8843841232240353,0.6554505251929674,0.894870095308208,0.9141219501978485,0.6697214504303335,4.63891901846406,4.7482515764212065,4.650534764699146,0.00011285193221825691,22.088803879385054,0,1.5,4800,6300.0,0.9440792632216387,745.8226179450946,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.9282638405162683,0.8920568123632648,0.8129879624571326,1500,500,500,500,1|1|1,True,True,-
linearp,0.0,0.0,4.529266435970059,0.0,754.2187951558236,0.8845536614559198,0.29829604853641,7.979891640162353,1.3244704676917582,2.1395780630845027,0.0,0.0,0.0,0.28783111429803593,0.25951817638855534,6.79699285192447,0.288479169312911,0.2735442555058537,7.377436868275339,0.30824337784502415,0.2677284694692747,5.069087278378738,7.377436868275339,0.30824337784502415,0.020412263546988253,0.681543181155989,0.9249460822778737,0.6257628549548763,1.005247334619609,0.7661467729834068,1.0492975738899502,0.8892440944474722,0.6833377129917798,4.521311979570635,0.895783909412538,0.6900547284187998,0.882748161300712,0.676823180713011,0.8892674974841929,0.6825514221166307,0.889266522732481,0.895783909412538,0.6831431104161472,4.529570686546128,4.498629286815763,4.535735965350014,0.0020074858321818792,17.892555874221173,1,1.5,4800,6300.0,0.954707472434455,754.2189032232194,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.887470722436005,0.8894560878553017,0.8785076316691048,1500,500,500,500,1|1|1,True,True,
dlinear,7.925894689945542e-09,0.043040589120818304,4.529267627240507,0.0,754.2187857448092,0.8815043592898473,0.309435951159042,8.808735756799804,1.3265629179426226,2.190979126848265,0.0,0.043040589120818304,0.0,0.2966767386306497,0.275598766780484,6.988261624015335,0.2942461270748959,0.2917898887244463,8.140176646447811,0.2905814935842815,0.2433400910134723,4.07821463603534,8.140176646447811,0.2966767386306497,0.006095245046368218,0.7286939120038164,1.0592535334624995,0.6934592752728629,1.0766194310668276,0.7517232040058406,0.9943904964766972,0.9118634586634998,0.6654185184679436,4.701380852608962,0.9094557780124124,0.689911177125929,0.8910190718134631,0.6496906052684633,0.9348626736362425,0.6551491427041576,0.9117791744873727,0.9348626736362425,0.66491697503285,4.666217567199787,4.561129418052256,4.876795572574841,0.002066069713395002,17.892614458102386,1,1.5,4800,6300.0,0.954707472434455,754.2189032232194,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.887470722436005,0.8894560878553017,0.8785076316691048,1500,500,500,500,1|1|1,True,True,
linearp,0.0,0.0,4.776415429773216,0.0,752.2663181047692,0.8589866447662601,0.22749684202285042,6.609310251471476,1.2723619976726142,1.8214917691017403,0.0,0.0,0.0,0.294315570864161,0.24522412155824186,3.863508708655988,0.2862895904134931,0.24335993804694242,4.376234423729597,0.27838148348856695,0.24313349244173382,5.712969223997883,5.712969223997883,0.294315570864161,0.01593408737559407,0.7443863043023391,0.8653406477037586,0.7380230334278036,0.9860255524862518,0.5688078395200356,0.8516977774599443,0.8848250888797446,0.6924531156465632,4.554315985354742,0.8897205822321173,0.7161171789203115,0.8843508903651073,0.6724454722508226,0.8804302632666212,0.6852924554324723,0.8848339119546154,0.8897205822321173,0.6912850355345355,4.548709750239745,4.562232560937937,4.552005644886546,9.360046658143401e-05,18.866883148695464,2,1.5,4800,6300.0,0.9522359758272705,752.2664209035437,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.881790846163651,0.8647478974941923,0.8724523801983856,1500,500,500,500,1|1|1,True,True,
dlinear,0.0,0.0,4.776415429773411,0.0,752.2663181047759,0.8552762850494094,0.22871775301123712,6.563979957395706,1.2719712120539268,1.8487610491942248,0.0,0.0,0.0,0.28727904527993203,0.2366319574906989,3.863508708655988,0.2853881480320225,0.2428360167865951,4.329050302955728,0.28260909173752385,0.25233962336505816,5.925704318059063,5.925704318059063,0.28727904527993203,0.0046699535424081845,0.7407852704130224,0.8179057073371326,0.737170231047048,0.9771938703145314,0.5872498094498695,0.9092497417183708,0.8931096635862092,0.6631901509676167,4.627146723463926,0.9051481149467749,0.6924661240216758,0.8892638144675886,0.6203010390145982,0.88497347160836,0.6706900877658017,0.8931284670075744,0.9051481149467749,0.6611524169340253,4.634429208039777,4.59000971552804,4.65700124682396,0.00011849909146108562,18.866908047320344,2,1.5,4800,6300.0,0.9522359758272705,752.2664209035437,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.881790846163651,0.8647478974941923,0.8724523801983856,1500,500,500,500,1|1|1,True,True,
linearp,0.0,0.0,4.457518177422603,0.0,754.7856063983423,0.8831059159620107,0.305903197367273,8.137068099088705,1.3113654645872792,2.120242393239818,0.0,0.0,0.0,0.2988004441540675,0.27663578653325693,7.632764691873291,0.2978123716038215,0.26194345954912734,6.14383979705358,0.2864931002041008,0.272953676734366,6.264880816195772,7.632764691873291,0.2988004441540675,0.012307343949966715,0.7458865156925674,1.0148435473381312,0.7548052652367316,1.0328560419636088,0.5877978987096409,0.9611579794687009,0.8762343084415426,0.6798541658029774,4.465864671629078,0.870057634048094,0.6563574637944961,0.8830501657004939,0.7143582579820769,0.8756772044495058,0.6616153181287275,0.8762616680660312,0.8830501657004939,0.6774436799684335,4.473131640674816,4.546502868236649,4.37795950597577,0.002014234631303594,17.609158505245468,3,1.5,4800,6300.0,0.9554249512136339,754.7857114587707,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.880532208175583,0.8630108654567896,0.8398257705208034,1500,500,500,500,1|1|1,True,True,
dlinear,0.0,0.0,4.457518258648595,0.0,754.7856057566797,0.8843909330994381,0.3114750124675503,8.137068099088705,1.3166399855514421,2.1541014219243584,0.0,0.0,0.0,0.306617208097823,0.28784496258493586,7.632764691873291,0.2915981868751141,0.2541114558965007,5.5133842614839015,0.28617553812642876,0.275621868482949,6.7015352430239785,7.632764691873291,0.306617208097823,0.020441669971394235,0.7543125829044086,1.1034924849793364,0.7462589343516207,0.9993988122997379,0.590169877815107,0.9564443558900451,0.887057180625842,0.6799726303174002,4.502221731385583,0.8934751671822336,0.6592112602599025,0.8872319930120418,0.7100948624096131,0.880383225893675,0.6644972282723653,0.8870301286959835,0.8934751671822336,0.6779344503139603,4.514010680013709,4.597727659691241,4.394926854451799,0.0022397205406615513,17.609383991154825,3,1.5,4800,6300.0,0.9554249512136339,754.7857114587707,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.880532208175583,0.8630108654567896,0.8398257705208034,1500,500,500,500,1|1|1,True,True,
linearp,0.0,0.0,5.04761689468353,0.0,750.1238265320101,0.8361693891865145,0.19952839846914183,5.373627592330714,1.2542447087995963,1.6521916001998513,0.0,0.0,0.0,0.2903034696440386,0.2416597863328796,3.631521052769619,0.2726262006629764,0.23006831028913888,3.822479668869389,0.27323971887961107,0.23325650227016173,4.811765574868225,4.811765574868225,0.2903034696440386,0.017677268981062224,0.7432527230568884,0.8418389127206147,0.6116080286725348,0.8420047734814098,0.6063451177155738,0.8204969506202066,0.8878000580188886,0.7018656361909091,4.481422385882522,0.8933417724767125,0.7124194902337093,0.8817476849777436,0.6878302706822548,0.8883682196353657,0.7033672381259415,0.8878192256966072,0.8933417724767125,0.701205666347302,4.4938528749812345,4.537934278459271,4.41248000420706,0.0,19.93803043953006,4,1.5,4800,6300.0,0.9495239735708092,750.1239391209392,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.8887919984984172,0.8874233376506679,0.8609869991126479,1500,500,500,500,1|1|1,True,True,
dlinear,0.0,0.0,5.047616894683792,0.0,750.1238265319897,0.8340085791850232,0.19876301335437158,5.226643920056037,1.2547654133944524,1.6631783464574714,0.0,0.0,0.0,0.286286001774594,0.23766560310635831,3.429417637939814,0.2753992330308188,0.23354447262512912,3.9775321270660973,0.27232334437970207,0.23321799331785195,4.811765574868225,4.811765574868225,0.286286001774594,0.013962657394891954,0.7406979550756158,0.8257383593530749,0.671544098383342,0.9021741737828476,0.5921821220984946,0.806517313619688,0.8929068378720508,0.6728313911015334,4.528079850012483,0.8980667167646386,0.6704094596639462,0.8880973136162102,0.6910575346636556,0.8925748992890202,0.6574209908899767,0.892912976556623,0.8980667167646386,0.6729626617391928,4.561419906839663,4.583130831408834,4.439688811788949,6.874915347620845e-07,19.938031127021596,4,1.5,4800,6300.0,0.9495239735708092,750.1239391209392,790.0,1.0,2.0,1.24,1.24,0.88,1.24,0.88,1.24,0.88,0.8887919984984172,0.8874233376506679,0.8609869991126479,1500,500,500,500,1|1|1,True,True,
