run,T,horizon,p,h_estimator,file,alpha,seed,H_theory,H_fit,H_whittle,d,n_train,n_test,n_fc,acf_dev,mse_norros_f,mse_linearP_f,mse_farima_f,mse_persist,mase_norros_f,mase_linearP_f,mase_farima_f,mase_persist
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s00.csv,1.04,0,0.98,0.9600000000000004,0.9989945657015854,0.46042170797648047,5040,1440,1392,0.20240854776826123,7527420808789.135,7496315897059.488,7476054109594.311,8706500599084.848,0.9433583395908897,0.9414945467193659,0.9401534024933557,0.9999633124447787
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s01.csv,1.04,1,0.98,0.9600000000000004,0.9989957487766645,0.4710764324452415,5040,1440,1392,0.1970079848855103,9524801942975.248,9530807468351.195,9527439781347.69,11277032555978.736,0.9236303035500021,0.9241796122335284,0.9238466952603209,0.9998672613913018
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s02.csv,1.04,2,0.98,0.9700000000000004,0.9762716743690929,0.44322521316099983,5040,1440,1392,0.2386922076507202,9328140829348.346,9306030166562.08,9263248468606.078,10833409489769.83,0.9402810410428484,0.9396100513733966,0.936681546566794,0.9997481680743595
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s03.csv,1.04,3,0.98,0.9600000000000004,0.9945122370615928,0.4776434386648069,5040,1440,1392,0.18194851886546082,7357545785862.606,7311466367214.586,7343585222408.972,8944846641712.54,0.9093231844370911,0.9044378229613457,0.9071415596129379,0.9995228171840808
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s04.csv,1.04,4,0.98,0.9600000000000004,0.9601297668685159,0.4546482100832182,5040,1440,1392,0.22652759497699548,8461910353987.809,8434097615299.1455,8416228526306.812,9787072037008.861,0.9242794352851492,0.922179105369914,0.9214638948682559,0.9999093175486465
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s05.csv,1.04,5,0.98,0.9850000000000004,0.9986010125069229,0.4718743751317366,5040,1440,1392,0.3221578882038072,8111294492295.694,8115313989242.4795,8097323782243.997,9433441905609.578,0.9335926247132963,0.9357342841626313,0.9330420984492478,1.0015596247229692
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s06.csv,1.04,6,0.98,0.9900000000000004,0.9989955709023228,0.4723243573757342,5040,1440,1392,0.3679573896955908,8051184899117.21,8015724119557.982,8003954030343.173,9352515647333.9,0.9245672071565496,0.9225934083619773,0.9217676057363292,1.0000309705811241
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s07.csv,1.04,7,0.98,0.9650000000000004,0.9830277471771112,0.4607130149212322,5040,1440,1392,0.28493557023970056,9279664245228.445,9231282374605.836,9240843851039.629,11059624636076.115,0.91072135524908,0.9078856334226364,0.9079499936914269,0.9995432596094517
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s08.csv,1.04,8,0.98,0.9550000000000004,0.9394232380947929,-0.42076219792206393,5040,1440,1392,0.33031670026084703,10146324749578.814,10123764612022.367,10642023892369.072,12023684002183.186,0.9110104999563879,0.9110718358402367,0.9332250149609116,0.9995885850641704
2026-08-12 21:35:22,48,1,1,fit,onoff_a1.04_s09.csv,1.04,9,0.98,0.9700000000000004,0.9660043320173523,0.45558510246480877,5040,1440,1392,0.32321945215797426,8296422235349.659,8294133409604.311,8286948651928.408,9692614493287.4,0.9270569915600047,0.9276931685255311,0.9271735586958502,1.0008996082547674
