FORECASTER   LOOKBACK   H_EST                 DATANAME  ALPHA  SEED           MSE      MASE
NORROS_F           48     fit      onoff_a1.24_s07.csv   1.24     7    1.3264e+13    0.8681
LINEARP_F          48     fit      onoff_a1.24_s07.csv   1.24     7    1.3239e+13    0.8671
FARIMA_F           48     fit      onoff_a1.24_s07.csv   1.24     7    1.3247e+13    0.8674
PERSIST            48     fit      onoff_a1.24_s07.csv   1.24     7    1.7186e+13    0.9994
NORROS_F           48     fit      onoff_a1.24_s08.csv   1.24     8    1.2433e+13    0.8864
LINEARP_F          48     fit      onoff_a1.24_s08.csv   1.24     8    1.2406e+13    0.8861
FARIMA_F           48     fit      onoff_a1.24_s08.csv   1.24     8    1.2425e+13    0.8869
PERSIST            48     fit      onoff_a1.24_s08.csv   1.24     8    1.5812e+13    1.0014
NORROS_F           48     fit      onoff_a1.24_s09.csv   1.24     9    1.2993e+13    0.8922
LINEARP_F          48     fit      onoff_a1.24_s09.csv   1.24     9    1.2954e+13    0.8907
FARIMA_F           48     fit      onoff_a1.24_s09.csv   1.24     9    1.2971e+13    0.8910
PERSIST            48     fit      onoff_a1.24_s09.csv   1.24     9    1.6742e+13    0.9997
NORROS_F           48     fit      onoff_a1.44_s00.csv   1.44     0    6.5292e+12    0.8346
LINEARP_F          48     fit      onoff_a1.44_s00.csv   1.44     0    6.5313e+12    0.8350
FARIMA_F           48     fit      onoff_a1.44_s00.csv   1.44     0    6.5401e+12    0.8356
PERSIST            48     fit      onoff_a1.44_s00.csv   1.44     0    9.2388e+12    0.9995
NORROS_F           48     fit      onoff_a1.44_s01.csv   1.44     1    6.8293e+12    0.8349
LINEARP_F          48     fit      onoff_a1.44_s01.csv   1.44     1    6.8224e+12    0.8349
FARIMA_F           48     fit      onoff_a1.44_s01.csv   1.44     1    6.8223e+12    0.8346
PERSIST            48     fit      onoff_a1.44_s01.csv   1.44     1    9.8123e+12    0.9994
NORROS_F           48     fit      onoff_a1.44_s02.csv   1.44     2    6.1426e+12    0.8438
LINEARP_F          48     fit      onoff_a1.44_s02.csv   1.44     2    6.1250e+12    0.8431
FARIMA_F           48     fit      onoff_a1.44_s02.csv   1.44     2    6.1326e+12    0.8435
PERSIST            48     fit      onoff_a1.44_s02.csv   1.44     2    8.5822e+12    0.9996
NORROS_F           48     fit      onoff_a1.44_s03.csv   1.44     3    6.8748e+12    0.8347
LINEARP_F          48     fit      onoff_a1.44_s03.csv   1.44     3    6.8710e+12    0.8340
FARIMA_F           48     fit      onoff_a1.44_s03.csv   1.44     3    6.8667e+12    0.8343
PERSIST            48     fit      onoff_a1.44_s03.csv   1.44     3    9.7396e+12    1.0013
NORROS_F           48     fit      onoff_a1.44_s04.csv   1.44     4    6.9677e+12    0.8389
LINEARP_F          48     fit      onoff_a1.44_s04.csv   1.44     4    6.9632e+12    0.8386
FARIMA_F           48     fit      onoff_a1.44_s04.csv   1.44     4    6.9552e+12    0.8382
PERSIST            48     fit      onoff_a1.44_s04.csv   1.44     4    9.7112e+12    0.9995
NORROS_F           48     fit      onoff_a1.44_s05.csv   1.44     5    6.6821e+12    0.8449
LINEARP_F          48     fit      onoff_a1.44_s05.csv   1.44     5    6.6723e+12    0.8440
FARIMA_F           48     fit      onoff_a1.44_s05.csv   1.44     5    6.6730e+12    0.8438
PERSIST            48     fit      onoff_a1.44_s05.csv   1.44     5    9.4166e+12    0.9995
NORROS_F           48     fit      onoff_a1.44_s06.csv   1.44     6    5.9643e+12    0.8378
LINEARP_F          48     fit      onoff_a1.44_s06.csv   1.44     6    5.9448e+12    0.8363
