idx,date,truth,season,norros_f,linearP_f,farima_f,persist
7237,2001-11-07 06:10:00,690657593680.0,0.0,678271190649.4105,686939613098.1919,694606770070.4023,669524641920.0
7238,2001-11-07 06:20:00,668151321824.0,0.0,694004103509.5092,695155828139.3464,699817994779.5356,690657593680.0
7239,2001-11-07 06:30:00,633722373744.0,0.0,684332016683.7085,685249589083.9335,676874113576.5848,668151321824.0
7240,2001-11-07 06:40:00,710570365368.0,0.0,659673563792.1456,661255622875.9664,643731762021.5582,633722373744.0
7241,2001-11-07 06:50:00,676398241040.0,0.0,703332447191.0438,707627378103.7527,722434699616.0663,710570365368.0
7242,2001-11-07 07:00:00,576502612584.0,0.0,685026552013.88,683555278807.9548,678078920526.6298,676398241040.0
7243,2001-11-07 07:10:00,676384907216.0,0.0,619679773113.9954,619460572555.7563,582175523396.52,576502612584.0
7244,2001-11-07 07:20:00,717127176392.0,0.0,673369565680.7015,680184747664.1724,692817528795.8064,676384907216.0
7245,2001-11-07 07:30:00,693141830216.0,0.0,701821656493.0099,701660709575.2557,719025957811.9756,717127176392.0
7246,2001-11-07 07:40:00,640611281936.0,0.0,692161250322.3126,690462961467.8901,690804451218.5011,693141830216.0
7247,2001-11-07 07:50:00,627499468616.0,0.0,658004724873.5436,657176964654.7106,640194897948.4158,640611281936.0
7248,2001-11-07 08:00:00,667102730528.0,0.0,645825558809.4424,647836976841.2454,634051796797.4205,627499468616.0
7249,2001-11-07 08:10:00,670112571120.0,0.0,668047852536.6136,670752336648.2866,674724132867.3427,667102730528.0
7250,2001-11-07 08:20:00,721557446024.0,0.0,672466910699.8765,672838740379.5587,674252209173.547,670112571120.0
7251,2001-11-07 08:30:00,1016402669840.0,0.0,704590071432.3812,705645888092.4434,722842254120.7297,721557446024.0
7252,2001-11-07 08:40:00,1214949634304.0,0.0,896785437966.4,899156694979.6442,1008172193840.1154,1016402669840.0
7253,2001-11-07 08:50:00,1303017447584.0,0.0,1051256793990.6655,1039549366949.2131,1168800454847.7236,1214949634304.0
7254,2001-11-07 09:00:00,1482724263344.0,0.0,1140904880984.352,1122750085225.19,1234209501674.5781,1303017447584.0
7255,2001-11-07 09:10:00,1572367621720.0,0.0,1282841786478.7925,1265674160644.2747,1406025542476.271,1482724263344.0
7256,2001-11-07 09:20:00,1542572465576.0,0.0,1373273488362.5137,1349332674703.5469,1478905558537.2764,1572367621720.0
7257,2001-11-07 09:30:00,1687192264368.0,0.0,1383452659541.7517,1357820982633.935,1445832642564.1362,1542572465576.0
7258,2001-11-07 09:40:00,1679573789984.0,0.0,1490694127654.4941,1471703784731.602,1597828394938.025,1687192264368.0
7259,2001-11-07 09:50:00,1511721510600.0,0.0,1511555168350.1484,1485358820680.2056,1580297705518.7407,1679573789984.0
7260,2001-11-07 10:00:00,1674957838672.0,0.0,1420242568989.7524,1395315655539.7827,1420354024484.2495,1511721510600.0
