policy,loss_ratio,dropped_Mb,waste_avoidable_pct,waste_unavoidable_pct,served_Mbps,backlog_mean_Mb,backlog_sd_Mb,backlog_max_Mb,backlog_p95_Mb,backlog_p99_Mb,drop_c0_Mb,drop_c1_Mb,drop_c2_Mb,backlog_mean_c0_Mb,backlog_sd_c0_Mb,backlog_max_c0_Mb,backlog_mean_c1_Mb,backlog_sd_c1_Mb,backlog_max_c1_Mb,backlog_mean_c2_Mb,backlog_sd_c2_Mb,backlog_max_c2_Mb,backlog_max_cell_Mb,backlog_mean_cell_max_Mb,backlog_imbalance_Mb,backlog_p95_c0_Mb,backlog_p99_c0_Mb,backlog_p95_c1_Mb,backlog_p99_c1_Mb,backlog_p95_c2_Mb,backlog_p99_c2_Mb,forecast_mase,forecast_sd_ratio,slot_err,forecast_mase_c0,forecast_sd_ratio_c0,forecast_mase_c1,forecast_sd_ratio_c1,forecast_mase_c2,forecast_sd_ratio_c2,forecast_mase_eq,forecast_mase_worst,forecast_sd_ratio_eq,slot_err_c0,slot_err_c1,slot_err_c2,deficit_Mb_per_period,surplus_Mb_per_period,replicate,sample_dt,n_decisions,train_seconds,rho,offered_Mbps,beam_Mbps,buffer_MiB,test_hours,alpha,alpha_c0,H_nominal_c0,alpha_c1,H_nominal_c1,alpha_c2,H_nominal_c2,H_meas_c0,H_meas_c1,H_meas_c2,n_sources,n_sources_c0,n_sources_c1,n_sources_c2,fixed_weights,adaptive_mean,backlog_aware,_rel_fixed
linearp,0.0,0.0,6.404534278446029,0.0,739.4041792002845,0.960526135175948,0.12656268551763844,3.0143670352108973,1.1517901181473005,1.3010388808231481,0.0,0.0,0.0,0.2791168711888482,0.2240487790501394,0.9632429402583714,0.3353932067540774,0.2409447885898207,2.549074981980228,0.34601605723301265,0.22165163096806745,2.1400468184904504,2.549074981980228,0.34601605723301265,0.06689918604416441,0.6253417851713499,0.6920440644649963,0.6867807234992941,0.8749202270026951,0.6905996843765858,0.7891370763412497,0.8923513139987399,0.8014697636797184,3.4794395875235,0.92039727863328,0.8546759970761507,0.8824285349961517,0.6817974939322603,0.8360010453598543,0.5038829908482405,0.8796089529964286,0.92039727863328,0.6801188272855505,4.221683520774462,4.165531099567966,2.051104142228071,0.0001133137613391576,25.29796427547015,0,1.5,4800,6300.0,0.9359548076918749,739.4042980765811,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9669874717950928,0.8686210930783284,0.7311550490375871,1500,900,450,150,6|3|1,True,True,-
dlinear,0.0,0.0,6.404534278446037,0.0,739.40417920028,0.963442721584827,0.12978977222870342,3.0143670352108973,1.1577207602021706,1.3220549095010428,0.0,0.0,0.0,0.2785833187578004,0.2240919266928422,0.9883620373977765,0.3357519556483467,0.24099749660402933,2.549074981980228,0.3491074471785435,0.22376203334348166,2.2824568371280827,2.549074981980228,0.3491074471785435,0.0705241284207431,0.6219919080464743,0.692256414548716,0.685357564201011,0.8725874776566386,0.6922096778891871,0.8012208932101504,0.9369011158693263,0.7661135709097238,3.4753573892925367,1.0004793479564664,0.81687470904471,0.9030945343318095,0.6514273576713664,0.836974532465112,0.48941383743536415,0.9135161382511293,1.0004793479564664,0.6525719680504802,4.221284146604803,4.170767960025726,2.0340200612470802,0.0001133137613391576,25.29796427547015,0,1.5,4800,6300.0,0.9359548076918749,739.4042980765811,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9669874717950928,0.8686210930783284,0.7311550490375871,1500,900,450,150,6|3|1,True,True,-
linearp,0.0,0.0,5.348383409599714,0.0,747.7477710641231,1.0147324793397918,0.19190400622561446,6.056935355005563,1.2548759384343797,1.66478163905618,0.0,0.0,0.0,0.2936785292363388,0.22805506575127638,1.5607614032744728,0.35514314440206846,0.2703639681639739,5.706575663506804,0.36591080570152584,0.23682518179136527,2.7767538280578474,5.706575663506804,0.36591080570152584,0.07223227646518703,0.6383478271335336,0.7101211883796489,0.7005007227023581,0.9436667526277623,0.7348332309861663,0.9137186027586395,0.89416663742879,0.8057103934082602,3.507849041540006,0.9204627511985959,0.8564645844641451,0.8858669074115488,0.6741721883442273,0.8397221276786432,0.5089143874419472,0.8820172620962626,0.9204627511985959,0.6798503867501066,4.24571766093374,4.192375404729386,2.085454058956893,0.000684226947803252,21.126736034888697,1,1.5,4800,6300.0,0.9465163245368603,747.7478963841196,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998966472230909,0.8653600348734313,0.7756684047526244,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,5.348383409599838,0.0,747.7477710641708,1.0183829512250617,0.20163755247558696,6.0986185381562725,1.267615126024089,1.714534967901176,0.0,0.0,0.0,0.2927336127034075,0.22786817203621515,1.553705195571408,0.35776605252112637,0.27633368297860894,5.816184635533398,0.36788328600058035,0.23805399915445868,2.6407367916026843,5.816184635533398,0.36788328600058035,0.07514967329717288,0.6376467187917678,0.7089136541716798,0.7030225368845257,0.9526181517136081,0.7374103909138398,0.9295540457589936,0.9011880115470567,0.7831490065213115,3.5228789531053946,0.9265560961251491,0.8382902828056833,0.8945655396084297,0.6331854396880735,0.8452891199034679,0.5063718489244851,0.8888035852123489,0.9265560961251491,0.6592825238060805,4.279583319910023,4.232858598927556,2.0561949404786066,0.0007959484915900935,21.126847756432483,1,1.5,4800,6300.0,0.9465163245368603,747.7478963841196,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998966472230909,0.8653600348734313,0.7756684047526244,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,4.615526012558984,0.0,753.5373445007815,1.0599399635915556,0.2131765340012398,5.970921790209539,1.3626550792115548,1.8925016330940851,0.0,0.0,0.0,0.3056881170213425,0.2314251887156135,1.9061096324778448,0.37035597315623464,0.27868730911933837,5.530784964733548,0.3838958734140036,0.24927880622354362,2.9765235558677268,5.530784964733548,0.3838958734140036,0.07820775639266107,0.6668972901942737,0.7342602901778047,0.7286100912598646,1.0319687615656314,0.7714177698379046,1.0321838323087147,0.8920497569557282,0.7729785778985567,3.4455701439994986,0.9208079761716086,0.8216548139039411,0.8817030705382156,0.7029581570398784,0.8375242897631345,0.5063536916568758,0.8800117788243197,0.9208079761716086,0.6769888875335651,4.148933243654805,4.138273802868063,2.049503385475628,0.0009993921356365178,18.232265696431778,2,1.5,4800,6300.0,0.953844895432162,753.537467391408,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9101955611003173,0.9447530338122658,0.7697003377108584,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,4.6155260125591475,0.0,753.5373445008088,1.0629670607103645,0.22945190995310208,6.454165461905176,1.3772640418354714,1.9809718116078772,0.0,0.0,0.0,0.3040050065570023,0.231032040390145,1.993903591938998,0.3810356210570806,0.2947178510571339,5.955566963406712,0.3779264330963449,0.24554158094710582,2.9989221823799026,5.955566963406712,0.3810356210570806,0.07703061450007831,0.663264721728345,0.734443955616297,0.7650552279705107,1.1700884563122673,0.753856308467116,0.9880335835605516,0.9037566537232201,0.7372346346437347,3.5021093859151473,0.9329560477116295,0.7743104838417207,0.8950957532957021,0.687943842087226,0.843835947198082,0.5018037882007044,0.8906292494018045,0.9329560477116295,0.654686038043217,4.157990862384479,4.255799645317921,2.09253765004304,0.0012283526954638263,18.232494656991605,2,1.5,4800,6300.0,0.953844895432162,753.537467391408,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9101955611003173,0.9447530338122658,0.7697003377108584,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,4.9591470973325364,0.0,750.8227379310792,1.0367946951176996,0.20244556679187156,5.52496091326945,1.302616946565662,1.803930378406045,0.0,0.0,0.0,0.30072361781318996,0.23101708596965972,2.7511509443267,0.3656808696865156,0.2736726667686602,5.151463873241809,0.37039020761804,0.24341277424101937,3.8991258048441098,5.151463873241809,0.37039020761804,0.06966658980485,0.6525695760359385,0.7295331136962855,0.7266112338106469,0.9725254743441818,0.7219517087583807,0.9620531674536108,0.8901698219877059,0.7854473078276508,3.461160475733784,0.9222150909423679,0.826690171201768,0.8719241030792252,0.7123792456631654,0.84450864244279,0.5086336339248732,0.879549278821461,0.9222150909423679,0.6825676835966021,4.167287280660665,4.173316539900605,2.042877606640081,0.0009032095145503039,19.58947128772896,3,1.5,4800,6300.0,0.9504086884095836,750.8228638435711,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9622572495351338,0.9046653485856091,0.769352328238635,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,4.959147097332608,0.0,750.8227379310815,1.0268494714701781,0.1835081002151136,4.855154479854343,1.2708626370506315,1.7025481809631784,0.0,0.0,0.0,0.3026875974885316,0.2320273635695827,3.3645755839484055,0.3575907949536455,0.26257768515888513,4.542399546020281,0.3665710790278425,0.23991685591689044,3.9118171541025326,4.542399546020281,0.3665710790278425,0.06388348153931095,0.6551754257704027,0.7312130055975701,0.7064768783960144,0.9312868745331448,0.715679631127956,0.9277435619780243,0.9206918090412869,0.7690906623604483,3.5742760623709544,0.987328557750216,0.8068440378687316,0.873857700902579,0.7026081353783904,0.8477128863527411,0.519756577880194,0.9029663816685121,0.987328557750216,0.6764029170424387,4.380241348519376,4.240354813599618,2.1022320249938717,0.000744200612220224,19.589312278826633,3,1.5,4800,6300.0,0.9504086884095836,750.8228638435711,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9622572495351338,0.9046653485856091,0.769352328238635,1500,900,450,150,6|3|1,True,True,
linearp,0.0,0.0,7.101139433422362,0.0,733.90099847594,0.9401337746230465,0.11997700249447477,2.325302059172385,1.1443267801353407,1.247558611019661,0.0,0.0,0.0,0.2706090251116488,0.22146062900487765,0.9652186459706458,0.3241398388780951,0.23515699001105525,2.0319284157797317,0.34538491063327953,0.21967895483629707,1.8092447830774117,2.0319284157797317,0.34538491063327953,0.07477588552163075,0.5943899384342657,0.6584109233390173,0.6725601701383105,0.8458886883635193,0.7091134301652215,0.8248178670988647,0.8905618311592491,0.7955671580768982,3.5466559358239316,0.9197105660672728,0.8434628376843941,0.8760346643766921,0.69871216541475,0.8447081202342788,0.5017908710662793,0.8801511168927479,0.9197105660672728,0.6813219580551412,4.317897733552862,4.212989492020319,2.1090805818986134,0.0,28.049447145892245,4,1.5,4800,6300.0,0.9289887414028065,733.9011057082172,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998956268617111,0.9045610643113262,0.7884231618646124,1500,900,450,150,6|3|1,True,True,
dlinear,0.0,0.0,7.101139433422364,0.0,733.9009984759441,0.9401097690251541,0.12032799980482932,2.3447672117652822,1.1440545684630008,1.2476270336295063,0.0,0.0,0.0,0.26954994877672633,0.22113938678700276,0.9494615690713648,0.32578846777476345,0.23597930204169326,2.122909984272747,0.34477135247357826,0.21939327783024887,1.8092447830774117,2.122909984272747,0.34477135247357826,0.07522140369685192,0.5939623372175691,0.6592257504392302,0.6739264623163899,0.8523250473093782,0.706207926035267,0.8186655160311922,0.9139699877111769,0.7817470075451752,3.569940324772251,0.9676117093802197,0.8305674326691254,0.8783382438095376,0.682635130552277,0.8513873045047692,0.4786981554040728,0.8991124192315089,0.9676117093802197,0.6639669062084917,4.320473693093171,4.264577505203494,2.124769776020089,0.0,28.049447145892245,4,1.5,4800,6300.0,0.9289887414028065,733.9011057082172,790.0,1.0,2.0,1.04|1.24|1.44,1.04,0.98,1.24,0.88,1.44,0.78,0.9998956268617111,0.9045610643113262,0.7884231618646124,1500,900,450,150,6|3|1,True,True,
