pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 833 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

========================================================================
sample_dt = 1.5s   decisions/replicate = 4800
  metric                             linearp           dlinear
  loss_ratio               0.000e+00+/-0e+00 0.000e+00+/-0e+00
  backlog_mean_Mb          7.836e-01+/-8e-03 7.821e-01+/-8e-03
  backlog_sd_Mb            8.160e-02+/-4e-03 8.052e-02+/-3e-03
  backlog_p95_Mb           1.219e+00+/-7e-03 1.219e+00+/-8e-03
  backlog_p99_Mb           1.252e+00+/-7e-03 1.252e+00+/-7e-03
  backlog_max_Mb           1.511e+00+/-3e-02 1.519e+00+/-3e-02
  backlog_max_cell_Mb      1.077e+00+/-2e-02 1.083e+00+/-2e-02
  backlog_mean_cell_max_Mb 2.734e-01+/-4e-03 2.723e-01+/-4e-03
  backlog_imbalance_Mb     2.309e-02+/-3e-03 2.166e-02+/-3e-03
  waste_avoidable_pct      1.031e+01+/-5e-01 1.031e+01+/-5e-01
  served_Mbps              7.471e+02+/-4e+00 7.471e+02+/-4e+00
  forecast_mase            9.225e-01+/-9e-04 9.648e-01+/-2e-02
  forecast_mase_eq         9.225e-01+/-9e-04 9.648e-01+/-2e-02
  forecast_mase_worst      9.272e-01+/-1e-03 1.017e+00+/-4e-02
  forecast_sd_ratio        8.383e-01+/-6e-03 8.175e-01+/-7e-03
  forecast_sd_ratio_eq     8.363e-01+/-6e-03 8.157e-01+/-6e-03
  slot_err                 3.848e+00+/-4e-02 4.051e+00+/-1e-01
  deficit_Mb_per_period    0.000e+00+/-0e+00 0.000e+00+/-0e+00
  surplus_Mb_per_period    4.293e+01+/-2e+00 4.293e+01+/-2e+00
  backlog_max_c0_Mb        1.055e+00+/-9e-03 1.056e+00+/-7e-03
  backlog_max_c1_Mb        1.050e+00+/-7e-03 1.065e+00+/-2e-02
  backlog_max_c2_Mb        1.014e+00+/-4e-02 1.016e+00+/-5e-02
  backlog_mean_c0_Mb       2.651e-01+/-4e-03 2.637e-01+/-3e-03
  backlog_mean_c1_Mb       2.631e-01+/-4e-03 2.627e-01+/-4e-03
  backlog_mean_c2_Mb       2.553e-01+/-5e-03 2.557e-01+/-5e-03
  backlog_p95_c0_Mb        6.454e-01+/-3e-02 6.462e-01+/-3e-02
  backlog_p95_c1_Mb        6.451e-01+/-3e-02 6.300e-01+/-3e-02
  backlog_p95_c2_Mb        5.657e-01+/-3e-02 5.660e-01+/-3e-02
  backlog_p99_c0_Mb        7.300e-01+/-2e-02 7.302e-01+/-2e-02
  backlog_p99_c1_Mb        7.899e-01+/-4e-02 7.878e-01+/-4e-02
  backlog_p99_c2_Mb        6.640e-01+/-5e-02 6.648e-01+/-5e-02
  backlog_sd_c0_Mb         2.136e-01+/-2e-03 2.129e-01+/-1e-03
  backlog_sd_c1_Mb         2.126e-01+/-2e-03 2.124e-01+/-2e-03
  backlog_sd_c2_Mb         2.104e-01+/-2e-03 2.105e-01+/-2e-03
  forecast_mase_c0         9.216e-01+/-2e-03 9.342e-01+/-5e-03
  forecast_mase_c1         9.227e-01+/-2e-03 9.867e-01+/-3e-02
  forecast_mase_c2         9.232e-01+/-1e-03 9.736e-01+/-4e-02
  forecast_sd_ratio_c0     8.387e-01+/-1e-02 8.218e-01+/-1e-02
  forecast_sd_ratio_c1     8.412e-01+/-6e-03 8.208e-01+/-7e-03
  forecast_sd_ratio_c2     8.290e-01+/-7e-03 8.045e-01+/-9e-03
  slot_err_c0              3.840e+00+/-5e-02 4.098e+00+/-2e-01
  slot_err_c1              3.858e+00+/-5e-02 4.051e+00+/-1e-01
  slot_err_c2              3.845e+00+/-4e-02 4.003e+00+/-1e-01

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = -0.0060 +/- 0.0188 Mb   linearp better in 5/10
    dimbalance[linearp-dlinear] = +0.0014 +/- 0.0025 Mb   linearp better in 2/10
    dmax[linearp-dlinear] = -0.0083 +/- 0.0235 Mb   linearp better in 6/10
    dmean[linearp-dlinear] = +0.0015 +/- 0.0019 Mb   linearp better in 3/10
    dmase[linearp-dlinear] = -0.0423 +/- 0.0457    linearp better in 10/10
    dmase_eq[linearp-dlinear] = -0.0423 +/- 0.0456    linearp better in 10/10
    dmase_worst[linearp-dlinear] = -0.0897 +/- 0.1004    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0208 +/- 0.0082    linearp better in 0/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0206 +/- 0.0079    linearp better in 0/10

