pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.04   H = 0.980|0.980|0.980
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 790 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

  backlog_max_c0_Mb        3.535e+00+/-1e+00 3.438e+00+/-9e-01
  backlog_max_c1_Mb        3.522e+00+/-9e-01 3.513e+00+/-1e+00
  backlog_max_c2_Mb        3.555e+00+/-9e-01 3.639e+00+/-9e-01
  backlog_mean_c0_Mb       3.019e-01+/-2e-02 2.961e-01+/-1e-02
  backlog_mean_c1_Mb       3.041e-01+/-2e-02 3.027e-01+/-2e-02
  backlog_mean_c2_Mb       3.038e-01+/-2e-02 3.148e-01+/-3e-02
  backlog_p95_c0_Mb        7.385e-01+/-3e-02 7.316e-01+/-1e-02
  backlog_p95_c1_Mb        7.366e-01+/-4e-02 7.258e-01+/-5e-02
  backlog_p95_c2_Mb        6.621e-01+/-5e-02 6.982e-01+/-7e-02
  backlog_p99_c0_Mb        1.020e+00+/-2e-01 9.878e-01+/-2e-01
  backlog_p99_c1_Mb        1.048e+00+/-2e-01 1.062e+00+/-2e-01
  backlog_p99_c2_Mb        1.002e+00+/-2e-01 1.061e+00+/-3e-01
  backlog_sd_c0_Mb         2.711e-01+/-3e-02 2.655e-01+/-3e-02
  backlog_sd_c1_Mb         2.758e-01+/-4e-02 2.759e-01+/-4e-02
  backlog_sd_c2_Mb         2.753e-01+/-4e-02 2.838e-01+/-5e-02
  forecast_mase_c0         9.260e-01+/-6e-04 9.313e-01+/-2e-03
  forecast_mase_c1         9.268e-01+/-4e-04 9.942e-01+/-2e-02
  forecast_mase_c2         9.260e-01+/-6e-04 1.033e+00+/-8e-02
  forecast_sd_ratio_c0     8.820e-01+/-3e-03 8.626e-01+/-5e-03
  forecast_sd_ratio_c1     8.750e-01+/-4e-03 8.384e-01+/-7e-03
  forecast_sd_ratio_c2     8.814e-01+/-5e-03 8.446e-01+/-8e-03
  slot_err_c0              5.759e-01+/-4e-03 5.969e-01+/-1e-02
  slot_err_c1              5.698e-01+/-5e-03 5.979e-01+/-1e-02
  slot_err_c2              5.789e-01+/-4e-03 6.210e-01+/-2e-02

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = -0.0433 +/- 0.0820 Mb   linearp better in 6/10
    dimbalance[linearp-dlinear] = -0.0138 +/- 0.0294 Mb   linearp better in 6/10
    dmax[linearp-dlinear] = -0.0874 +/- 0.1382 Mb   linearp better in 4/10
    dmean[linearp-dlinear] = -0.0039 +/- 0.0112 Mb   linearp better in 4/10
    dmase[linearp-dlinear] = -0.0599 +/- 0.0699    linearp better in 10/10
    dmase_eq[linearp-dlinear] = -0.0599 +/- 0.0703    linearp better in 10/10
    dmase_worst[linearp-dlinear] = -0.1500 +/- 0.1839    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0307 +/- 0.0056    linearp better in 0/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0309 +/- 0.0054    linearp better in 0/10
    loss[linearp]/loss[dlinear] = 0.981 (x/ 1.100)   linearp better in 1/2

========================================================================
sample_dt = 1.5s   decisions/replicate = 4800
  metric                             linearp           dlinear
  loss_ratio               3.824e-06+/-3e-06 6.513e-06+/-5e-06
  backlog_mean_Mb          9.866e-01+/-9e-02 1.005e+00+/-1e-01
  backlog_sd_Mb            5.153e-01+/-2e-01 5.434e-01+/-2e-01
  backlog_p95_Mb           1.886e+00+/-4e-01 2.012e+00+/-5e-01
  backlog_p99_Mb           3.367e+00+/-1e+00 3.502e+00+/-1e+00
  backlog_max_Mb           8.944e+00+/-3e+00 9.103e+00+/-3e+00
  backlog_max_cell_Mb      4.909e+00+/-1e+00 4.891e+00+/-1e+00
  backlog_mean_cell_max_Mb 3.491e-01+/-3e-02 3.752e-01+/-5e-02
  backlog_imbalance_Mb     3.495e-02+/-6e-03 7.942e-02+/-4e-02
  waste_avoidable_pct      4.970e+00+/-6e-01 4.970e+00+/-6e-01
  served_Mbps              7.507e+02+/-4e+00 7.507e+02+/-4e+00
  forecast_mase            9.205e-01+/-6e-04 9.689e-01+/-2e-02
  forecast_mase_eq         9.205e-01+/-6e-04 9.687e-01+/-2e-02
  forecast_mase_worst      9.243e-01+/-1e-03 1.032e+00+/-4e-02
  forecast_sd_ratio        8.448e-01+/-3e-03 8.228e-01+/-3e-03
  forecast_sd_ratio_eq     8.432e-01+/-3e-03 8.213e-01+/-4e-03
  slot_err                 3.824e+00+/-4e-02 4.027e+00+/-9e-02
  deficit_Mb_per_period    2.069e-02+/-1e-02 2.440e-02+/-2e-02
  surplus_Mb_per_period    1.965e+01+/-2e+00 1.965e+01+/-2e+00
  backlog_max_c0_Mb        4.848e+00+/-1e+00 4.724e+00+/-1e+00
  backlog_max_c1_Mb        4.360e+00+/-1e+00 4.232e+00+/-1e+00
  backlog_max_c2_Mb        4.580e+00+/-1e+00 4.647e+00+/-1e+00
  backlog_mean_c0_Mb       3.319e-01+/-3e-02 3.084e-01+/-2e-02
  backlog_mean_c1_Mb       3.320e-01+/-3e-02 3.489e-01+/-4e-02
  backlog_mean_c2_Mb       3.227e-01+/-3e-02 3.481e-01+/-5e-02
  backlog_p95_c0_Mb        8.319e-01+/-1e-01 7.072e-01+/-3e-02
  backlog_p95_c1_Mb        8.433e-01+/-2e-01 9.726e-01+/-2e-01
  backlog_p95_c2_Mb        7.616e-01+/-1e-01 9.395e-01+/-3e-01
  backlog_p99_c0_Mb        1.592e+00+/-5e-01 1.232e+00+/-2e-01
  backlog_p99_c1_Mb        1.686e+00+/-5e-01 1.896e+00+/-6e-01
  backlog_p99_c2_Mb        1.604e+00+/-5e-01 1.811e+00+/-6e-01
  backlog_sd_c0_Mb         3.492e-01+/-7e-02 2.982e-01+/-4e-02
  backlog_sd_c1_Mb         3.561e-01+/-8e-02 3.903e-01+/-1e-01
  backlog_sd_c2_Mb         3.586e-01+/-7e-02 4.031e-01+/-1e-01
  forecast_mase_c0         9.198e-01+/-1e-03 9.313e-01+/-6e-03
  forecast_mase_c1         9.197e-01+/-2e-03 9.938e-01+/-3e-02
  forecast_mase_c2         9.220e-01+/-2e-03 9.809e-01+/-4e-02
  forecast_sd_ratio_c0     8.458e-01+/-6e-03 8.284e-01+/-6e-03
  forecast_sd_ratio_c1     8.421e-01+/-6e-03 8.214e-01+/-7e-03
