pooled over R = 10 replicates (3 test + 3 train seeds each)
alpha = 1.44   H = 0.780|0.780|0.780
test 2h/replicate   500 sources/cell   fixed split 1|1|1   beam 760 Mb/s   buffer 1 MiB
mean +/- SE of the mean; SE = sd/sqrt(R)

========================================================================
sample_dt = 1.5s   decisions/replicate = 4800
  metric                             linearp           dlinear
  loss_ratio               7.721e-06+/-2e-06 7.942e-06+/-2e-06
  backlog_mean_Mb          2.069e+00+/-9e-02 2.073e+00+/-9e-02
  backlog_sd_Mb            1.726e+00+/-1e-01 1.732e+00+/-1e-01
  backlog_p95_Mb           5.514e+00+/-3e-01 5.527e+00+/-3e-01
  backlog_p99_Mb           8.826e+00+/-5e-01 8.867e+00+/-5e-01
  backlog_max_Mb           1.889e+01+/-7e-01 1.902e+01+/-8e-01
  backlog_max_cell_Mb      8.389e+00+/-4e-05 8.389e+00+/-4e-05
  backlog_mean_cell_max_Mb 7.044e-01+/-3e-02 7.207e-01+/-3e-02
  backlog_imbalance_Mb     3.188e-02+/-3e-03 5.792e-02+/-1e-02
  waste_avoidable_pct      1.361e+00+/-4e-02 1.361e+00+/-4e-02
  served_Mbps              7.497e+02+/-3e-01 7.497e+02+/-3e-01
  forecast_mase            8.436e-01+/-8e-04 8.470e-01+/-1e-03
  forecast_mase_eq         8.436e-01+/-8e-04 8.470e-01+/-1e-03
  forecast_mase_worst      8.487e-01+/-2e-03 8.512e-01+/-2e-03
  forecast_sd_ratio        5.112e-01+/-3e-03 5.008e-01+/-3e-03
  forecast_sd_ratio_eq     5.108e-01+/-3e-03 5.005e-01+/-3e-03
  slot_err                 3.137e+00+/-1e-02 3.146e+00+/-1e-02
  deficit_Mb_per_period    1.532e-01+/-2e-02 1.539e-01+/-2e-02
  surplus_Mb_per_period    5.320e+00+/-1e-01 5.321e+00+/-1e-01
  backlog_max_c0_Mb        8.357e+00+/-2e-02 8.366e+00+/-2e-02
  backlog_max_c1_Mb        8.348e+00+/-3e-02 8.348e+00+/-3e-02
  backlog_max_c2_Mb        8.372e+00+/-1e-02 8.373e+00+/-1e-02
  backlog_mean_c0_Mb       6.872e-01+/-3e-02 6.914e-01+/-3e-02
  backlog_mean_c1_Mb       6.904e-01+/-3e-02 6.927e-01+/-3e-02
  backlog_mean_c2_Mb       6.913e-01+/-3e-02 6.889e-01+/-4e-02
  backlog_p95_c0_Mb        2.486e+00+/-1e-01 2.503e+00+/-1e-01
  backlog_p95_c1_Mb        2.499e+00+/-2e-01 2.508e+00+/-1e-01
  backlog_p95_c2_Mb        2.488e+00+/-1e-01 2.472e+00+/-2e-01
  backlog_p99_c0_Mb        4.544e+00+/-2e-01 4.556e+00+/-2e-01
  backlog_p99_c1_Mb        4.507e+00+/-2e-01 4.548e+00+/-2e-01
  backlog_p99_c2_Mb        4.510e+00+/-2e-01 4.493e+00+/-2e-01
  backlog_sd_c0_Mb         8.959e-01+/-4e-02 9.010e-01+/-4e-02
  backlog_sd_c1_Mb         8.964e-01+/-5e-02 9.020e-01+/-4e-02
  backlog_sd_c2_Mb         8.942e-01+/-4e-02 8.924e-01+/-5e-02
  forecast_mase_c0         8.426e-01+/-1e-03 8.442e-01+/-2e-03
  forecast_mase_c1         8.442e-01+/-3e-03 8.476e-01+/-2e-03
  forecast_mase_c2         8.441e-01+/-2e-03 8.493e-01+/-2e-03
  forecast_sd_ratio_c0     5.112e-01+/-4e-03 5.058e-01+/-5e-03
  forecast_sd_ratio_c1     5.136e-01+/-7e-03 5.046e-01+/-4e-03
  forecast_sd_ratio_c2     5.076e-01+/-6e-03 4.910e-01+/-8e-03
  slot_err_c0              3.134e+00+/-2e-02 3.139e+00+/-2e-02
  slot_err_c1              3.133e+00+/-1e-02 3.142e+00+/-1e-02
  slot_err_c2              3.144e+00+/-1e-02 3.156e+00+/-1e-02

  PAIRED (same seeds; negative = first policy better).  t-interval at 95%
    dmax_cell[linearp-dlinear] = +0.0000 +/- 0.0000 Mb   linearp better in 0/10
  * dimbalance[linearp-dlinear] = -0.0260 +/- 0.0224 Mb   linearp better in 8/10
    dmax[linearp-dlinear] = -0.1272 +/- 0.5015 Mb   linearp better in 4/10
  * dmean[linearp-dlinear] = -0.0040 +/- 0.0029 Mb   linearp better in 8/10
  * dmase[linearp-dlinear] = -0.0034 +/- 0.0010    linearp better in 10/10
  * dmase_eq[linearp-dlinear] = -0.0034 +/- 0.0010    linearp better in 10/10
  * dmase_worst[linearp-dlinear] = -0.0025 +/- 0.0012    linearp better in 10/10
  * dsd_ratio[linearp-dlinear] = +0.0104 +/- 0.0077    linearp better in 1/10
  * dsd_ratio_eq[linearp-dlinear] = +0.0103 +/- 0.0077    linearp better in 1/10
    loss[linearp]/loss[dlinear] = 0.957 (x/ 1.025)   linearp better in 8/10

