idx,truth,norros_f,linearP_f,farima_f,persist
5808,250616705.48364258,250269247.45695883,250251636.53138202,250247765.37773186,248870538.86393917
5809,251802985.4423828,250934337.1724434,251042902.74600035,251011730.8925649,250616705.483696
5810,257839980.92529297,251573809.33563903,251604577.75991732,251623775.01266435,251802985.44228208
5811,255214666.11279297,254702772.61647496,254687689.99207875,254777237.5730751,257839980.92533603
5812,254506190.25073242,254052696.9105997,253842541.3496637,253923678.6879328,255214666.11269715
5813,248137641.77392578,253790152.8609916,253704336.3952133,253705846.76526356,254506190.25078595
5814,253904332.75170898,250645574.65659893,250593594.92658812,250520978.52687478,248137641.77402937
5815,251786504.1616211,252956977.7314495,253117895.5794911,253080810.9558089,253904332.75160104
5816,249505786.59375,252176503.53300446,252113449.40186596,252137541.42272297,251786504.1615414
5817,248425383.19995117,250928297.65045086,250962730.63490632,250905938.33267075,249505786.5937497
5818,251797775.37573242,250169370.85911465,250275433.58875778,250205970.13108733,248425383.1999067
5819,255410402.6442871,251648893.57354465,251777791.17072105,251763741.86766163,251797775.3758314
5820,255431088.3815918,253644627.83394954,253642839.91311327,253708105.68709773,255410402.64436105
5821,254066699.57080078,254069846.7652092,253955547.15905967,254018826.10085166,255431088.38170335
5822,256270136.64038086,253613187.65405613,253520313.48372877,253532956.46672153,254066699.5708125
5823,257686964.69970703,254732794.19771633,254691320.99494126,254714639.74936038,256270136.64044443
5824,255481161.47875977,255679835.4080761,255560893.6713108,255620900.2435797,257686964.6996165
5825,249631074.30639648,254823010.18192604,254670888.84422415,254691900.65263763,255481161.47867316
5826,252630795.54345703,251838582.03273234,251782854.04320577,251701016.72273383,249631074.30631495
5827,259277826.29223633,252790033.21527082,252926266.044631,252860169.52350533,252630795.5434295
5828,249083635.34399414,256142610.38613582,256140996.7301207,256225538.23535955,259277826.29214653
5829,249925379.75463867,251579329.01670545,251364733.03193682,251347145.98992246,249083635.3440027
5830,255570801.66723633,251369769.71882385,251539112.27460963,251415225.15381345,249925379.7545789
5831,252311056.18017578,253995181.21291247,254083546.91349873,254110962.44321823,255570801.66727155
5832,254969775.42236328,252728640.9498591,252621626.84745663,252646824.79895303,252311056.1801605
5833,251154270.1352539,253934053.40177938,253962259.19407392,253960995.33155388,254969775.42238075
5834,249792010.75561523,252109215.79113305,252027305.9936206,252018092.06235236,251154270.13534555
5835,251601776.5324707,251127899.9123101,251188676.77226436,251118576.20838282,249792010.75554737
5836,253529610.5168457,251802099.7300929,251891489.8552114,251865787.34013757,251601776.532465
5837,247058650.00610352,252775018.77170858,252788927.0845892,252814574.31527647,253529610.5168318
5838,252186874.17700195,249662446.86962917,249618119.7340471,249565323.66878855,247058650.0061981
5839,245711835.4501953,251728341.8366173,251909367.2579233,251864974.6268691,252186874.1770704
5840,246634019.7841797,248700721.2420194,248679642.8601565,248638027.5564835,245711835.45028543
