idx,truth,norros_f,linearP_f,farima_f,persist
5808,261291394.15942383,253767751.9318286,253745067.078662,253578557.6898296,252159167.86604065
5809,255952838.0986328,258141730.47799644,258258672.61948615,258342264.67612165,261291394.1593224
5810,252527759.2861328,256061251.23634532,255826729.40240684,255783804.992506,255952838.09872943
5811,261375915.43017578,254102395.34052712,254106355.6156383,253892175.4519122,252527759.28601205
5812,253248713.54858398,258339821.9557587,258447613.95193523,258517235.2424224,261375915.43021336
5813,257930864.25927734,254786603.58925256,254556544.9245467,254427628.6882863,253248713.54852983
5814,257563003.70263672,256728622.09048688,256840184.3946558,256769419.24233463,257930864.25938964
5815,258723447.6755371,256726642.98473093,256620830.09514257,256604124.8939702,257563003.70261487
5816,260831922.47216797,257446738.2972477,257383522.4289528,257349520.2837722,258723447.6755648
5817,251881513.9182129,258712018.101511,258607609.95372555,258620653.18911904,260831922.47224632
5818,252523100.47021484,254382030.26245883,254212400.94563583,253965404.05620885,251881513.9182334
5819,253251176.8347168,254030423.46364254,254201330.38043424,253972318.34730437,252523100.47015363
5820,256185898.31274414,254128192.60913673,254228080.95345533,254116999.16480953,253251176.834704
5821,257698935.47216797,255528928.4268209,255595132.25005203,255575291.59103432,256185898.3127504
5822,254288984.1064453,256499675.0441192,256456125.32777268,256471614.56085953,257698935.47220185
5823,250718906.45654297,254898234.61996624,254806365.140998,254700531.2376549,254288984.1064625
5824,255369687.0258789,252837113.01360953,252878246.9665235,252667545.79959333,250718906.45658368
5825,252496748.21142578,254804246.93873933,254957194.97340083,254913660.3019475,255369687.0259855
5826,250678120.72265625,253553106.57084885,253515994.71322381,253428552.16190025,252496748.2115344
5827,253041827.9206543,252450613.17893475,252539931.18186533,252372055.85725254,250678120.72270957
5828,247000865.0,253398451.03756475,253532812.0931377,253464288.12554923,253041827.92068785
5829,249684967.05981445,250357733.8692231,250396899.80835396,250192451.0574538,247000865.0001082
5830,251628560.1887207,251102489.99298686,251359109.55518344,251234892.30752748,249684967.05985308
5831,256058493.45776367,252030430.61438847,252149722.52181357,252143132.58289468,251628560.18867296
5832,254751541.0625,254392110.85121298,254439908.2884929,254529683.60154274,256058493.4578701
5833,255261593.54370117,254199562.08118066,254092663.697814,254110419.62763676,254751541.06253105
5834,253020971.3540039,254574451.74382132,254542410.61929923,254519224.11039296,255261593.5437925
5835,255866502.79296875,253498041.87266934,253442715.29522195,253360158.0546164,253020971.35403347
5836,253044180.31982422,254824062.41836086,254855780.15608442,254842382.93011042,255866502.7929037
5837,251333743.30297852,253596433.0211552,253517782.25701606,253440857.8005793,253044180.31979093
5838,247487191.56274414,252551925.01410314,252590846.13736168,252447898.67245233,251333743.30300376
5839,253622171.06518555,250347213.18848076,250436709.2260581,250227819.10518086,247487191.56265453
5840,256905307.85205078,252994057.293551,253207917.23587435,253201526.80401704,253622171.0652035
5841,248473680.82861328,254981230.78294024,254941789.03163916,255056390.3278714,256905307.85195643
5842,248315321.48828125,251058683.17333868,250926572.12983388,250753354.4970272,248473680.82860067
5843,245587044.07885742,250375160.55725697,250568604.0677059,250377007.78957677,248315321.48839143
5844,248308586.2590332,248592163.67792115,248739755.8101278,248570550.14207098,245587044.07879576
5845,250525611.07128906,249568442.144855,249806195.17535856,249738547.6455193,248308586.2590351
5846,244416603.5427246,250726514.776027,250841419.95754638,250869151.59624234,250525611.07121077
5847,253405269.9645996,247708075.33636576,247744266.90433693,247591006.83348194,244416603.5428461
5848,247097599.6015625,251813214.77640066,252075143.02404046,252156470.22038513,253405269.9645981
5849,254923462.22583008,249093106.1880802,248989440.274077,248946543.7411807,247097599.6015732
5850,254540693.42407227,252768365.06672502,252934534.72550473,253026553.06551737,254923462.2258264
5851,248783940.36914062,253134686.07564172,252980440.294515,253093320.27444437,254540693.4240882
5852,254111991.79052734,250432994.00813615,250339499.32647675,250213203.95552865,248783940.3690241
5853,253719846.90795898,252793431.64750147,252912087.97498512,252931104.90584522,254111991.79061717
5854,249592559.50683594,252909999.97970408,252810055.8095558,252857942.66696066,253719846.90806675
5855,250215324.21826172,250889493.00460365,250829136.84949082,250716458.3730288,249592559.50683108
5856,248342897.20214844,250940293.65099764,251036339.60420892,250948708.1231478,250215324.21814027
5857,250839266.89819336,249835686.65078017,249885583.6299764,249794913.70229933,248342897.2020465
5858,249248546.0756836,250869327.76052102,250982297.10573235,250967541.85599965,250839266.89826787
5859,256468076.53442383,250182869.71284205,250196673.63466448,250158474.20849493,249248546.07571068
5860,251107640.52905273,253734781.95019698,253807383.93001136,253944002.41151538,256468076.53441373
5861,247803392.88061523,251608714.91623968,251412030.0214478,251397751.45739326,251107640.5289814
5862,253308516.38110352,249697783.90050694,249735672.2408637,249569493.66393286,247803392.88057804
5863,252521365.66552734,252144466.46225128,252275939.30228022,252312423.53015593,253308516.3809856
5864,254424810.1862793,252042551.91179186,251957295.99543458,252000156.57437274,252521365.665526
5865,251416728.28271484,253038347.18284553,253001294.48235217,253045523.83337364,254424810.18627855
5866,252096995.77954102,251725660.35577407,251618556.52739745,251575651.52453336,251416728.28269655
5867,256915754.1677246,251930020.75543687,251946729.88120353,251903529.90970102,252096995.77965057
5868,248216963.2294922,254429638.64084235,254408613.84999636,254516647.99571,256915754.1677196
5869,248439142.3166504,250392287.03938958,250202618.9900424,250062801.91154394,248216963.2296036
5870,253890848.78930664,249893160.0868638,250045617.56063026,249886813.03530303,248439142.3165562
5871,250918530.96899414,252428971.2842031,252524427.78556255,252600429.98454812,253890848.78936505
5872,256044918.43847656,251275363.29359776,251172381.99401966,251166466.85786793,250918530.96892828
5873,257234956.28515625,253781637.876894,253808524.02370915,253892877.43051928,256044918.43859705
5874,255974850.44628906,254825388.66155908,254649822.26942796,254771385.52944177,257234956.28504407
5875,249599911.04760742,254531417.82290435,254347652.2460021,254368659.3325592,255974850.4462268
5876,251979631.41845703,251309573.09762293,251184019.40823978,251012554.3475607,249599911.04754865
5877,254833416.4423828,252046612.50084817,252157339.28160068,252069707.5473735,251979631.41852143
5878,252511723.11328125,253511527.62889546,253504072.31322587,253554999.90191683,254833416.44234952
5879,257385620.22094727,252572028.62496516,252472633.6697902,252440254.17529854,252511723.1131917
5880,261802340.74731445,254969120.1015803,254965031.4623728,255037453.16482583,257385620.22106817
5881,260003484.0288086,257664582.497078,257472918.87344143,257662595.35005224,261802340.74736744
5882,254022970.26220703,257367179.98786506,257043671.8691846,257110904.87183025,260003484.0288736
5883,255082317.57495117,254492244.840547,254271558.35837376,254118117.57198712,254022970.26209185
5884,249956005.82373047,254610085.45638865,254609317.13263968,254503915.35455155,255082317.5750038
5885,253442097.79467773,251881136.34075996,251818511.83001328,251640187.30575916,249956005.8238421
5886,256410459.51123047,253144692.65270802,253269555.1343888,253201949.20484668,253442097.7946893
5887,265423564.63793945,254766887.5127105,254734772.90691435,254799547.50566512,256410459.51120123
5888,258517438.9296875,259698758.08607486,259572511.31364757,259838549.77253026,265423564.6379375
5889,256288071.38842773,257082918.18867376,256640784.17979974,256658637.72995824,258517438.92959985
5890,254528268.3317871,255833578.5487572,255703708.91320428,255564017.7384847,256288071.3883824
5891,258650563.52978516,254729372.6292667,254658562.3254641,254528205.1367656,254528268.33167452
5892,251691445.75195312,256645217.19906488,256635476.75340882,256643857.7732998,258650563.5297772
5893,257670477.97851562,253341627.2747407,253176955.72474205,253016760.93485543,251691445.75205883
5894,254992374.57958984,255887646.18955854,255991535.38959983,255971747.48619756,257670477.9786196
5895,254233823.47802734,254870292.46491697,254727580.8288906,254690972.28304607,254992374.5796696
5896,254978550.5205078,254340056.60774994,254319584.5183704,254217102.9293738,254233823.47809
5897,261258597.05517578,254648795.93575767,254645926.45314318,254589130.30301943,254978550.5204181
5898,254852093.82128906,257879358.52033243,257844380.31974444,257962073.9389395,261258597.0551209
5899,254671893.62158203,255138852.36829165,254874982.37053365,254798497.879923,254852093.8213669
5900,250605338.78295898,254782709.55633157,254791929.34819952,254655181.10805482,254671893.62152293
