idx,truth,norros_f,linearP_f,farima_f,persist
5808,249512805.8557129,249058822.12199903,249086732.42067373,249087759.25433388,248352910.3136898
5809,247441616.10986328,249431517.7467972,249457874.04300207,249454772.04353273,249512805.8557566
5810,249675215.0637207,248660337.76703596,248671072.39904583,248675923.7422575,247441616.10984883
5811,247699244.77026367,249347884.73180145,249388380.78992563,249379080.5704727,249675215.0636112
5812,245291361.27807617,248670036.7791361,248670730.67421028,248680372.82658368,247699244.77033415
5813,247999497.11328125,247591916.99007216,247648014.72420436,247639962.7542024,245291361.2780294
5814,247508843.0361328,248367409.12107283,248454048.2156507,248439590.95808914,247999497.11322096
5815,248317190.35375977,248244514.148699,248272542.44840503,248282694.4739379,247508843.03624025
5816,250932198.3725586,248509332.06617752,248543574.58772025,248544723.5313237,248317190.3537177
5817,254111331.6081543,249561392.8576709,249561515.65032673,249569350.32042035,250932198.37261403
5818,250513961.30908203,251057445.14779347,250987635.61378404,251007661.62650722,254111331.60818732
5819,245251473.87353516,250062453.8251056,249951069.91162124,249978341.35502848,250513961.30912507
5820,247374554.47680664,247939119.0731216,247938537.75467345,247931423.51785308,245251473.8735963
5821,252665294.15112305,248296735.200681,248391334.0351715,248364156.550084,247374554.47687808
5822,250402493.97460938,250305291.7621757,250319884.15281352,250323901.1611962,252665294.15113017
5823,252312727.04638672,249857370.53440174,249777104.92318413,249806268.75831136,250402493.9745068
5824,244501362.33862305,250654506.27470037,250619118.7617466,250618223.45957398,252312727.04640836
5825,249063393.06396484,247798532.62762856,247765484.0000346,247778178.91684347,244501362.33868125
5826,247935433.68066406,248982811.81147185,249089468.46299657,249053033.83807665,249063393.06389415
5827,255574787.2385254,248622572.77307045,248628701.12144363,248643387.75585547,247935433.6806664
5828,251487767.37524414,251551755.58094907,251545238.55857664,251543649.70846233,255574787.2384072
5829,252238587.54785156,250589276.59550413,250444999.93160307,250488132.81509316,251487767.37524623
5830,248750926.9416504,250899381.79586172,250848925.82619286,250842864.64690083,252238587.54773936
5831,248748412.9663086,249660797.63363743,249614109.19866067,249619757.54414213,248750926.9417651
5832,247009469.65478516,249396328.72343472,249423669.76792923,249407221.13388464,248748412.96638715
5833,246589559.95654297,248614440.84702623,248648005.47312108,248642560.68120998,247009469.65470576
5834,247486081.30517578,248216336.02471524,248286624.09192604,248273818.84831506,246589559.95664656
5835,246817928.90625,248388755.26882598,248457893.16993257,248450570.28754017,247486081.3052792
5836,246133929.31958008,248085649.24704155,248136059.42254648,248137351.9075847,246817928.9063228
5837,246082203.62060547,247721890.6524159,247788112.40811983,247784374.5115016,246133929.31950969
5838,251861587.70043945,247576631.78406444,247654358.9195563,247649701.95490837,246082203.6205127
5839,251422738.31884766,249739258.71476758,249782389.37279776,249782162.124766,251861587.70039943
5840,248004099.74121094,250021565.94135585,249947186.323748,249980018.11229426,251422738.31896815
5841,248971418.65844727,248851147.05436656,248811476.21948192,248822056.94890207,248004099.74109244
5842,243943348.86083984,249058738.1248216,249086284.66996452,249075531.9196163,248971418.6584406
5843,251242633.8071289,247108188.20446482,247139942.7757345,247143335.05518064,243943348.86090383
5844,248876620.00439453,249550974.8759952,249649399.9400666,249624112.86798525,251242633.80714
5845,249494006.60375977,249022931.5265075,248975755.41425112,249007953.52126288,248876620.00447476
5846,251987415.3942871,249232091.7483157,249237881.98063615,249235554.2644469,249494006.60370335
