idx,truth,norros_f,linearP_f,farima_f,persist
5808,254102034.96972656,252679094.4764526,252572828.48804477,252543622.19290283,254619464.49833795
5809,251660863.9411621,252597124.46704668,252510123.4517992,252449683.82832733,254102034.9697092
5810,255710453.68310547,251723278.46898052,251661678.49353445,251559868.2658626,251660863.94125703
5811,253645226.8930664,253112185.847763,253078173.60838607,253051051.33268362,255710453.6831084
5812,256500466.26489258,252601738.55052182,252499775.74925157,252427594.32849246,253645226.89300972
5813,251497846.1574707,253650602.17979506,253577906.21020752,253536363.6289292,256500466.2648844
5814,252985487.73779297,252022355.0583998,251923317.8795306,251789837.33075446,251497846.15755472
5815,255527736.1286621,252275794.17662394,252268697.26424572,252175663.5376005,252985487.73767743
5816,251394911.18530273,253258355.8744071,253205380.18404716,253167163.0707714,255527736.1285571
5817,252048177.3088379,251901989.71415818,251824523.43784922,251703752.32683948,251394911.1853308
5818,248308015.3059082,251918164.87662742,251921138.3180046,251821958.80176994,252048177.30887225
5819,253831373.85473633,250428380.3691188,250434066.96038467,250302677.54689857,248308015.3060164
5820,246558643.93164062,252172297.44962674,252220271.52815172,252203505.70994923,253831373.85472852
5821,253421609.55541992,249681647.8596832,249657360.21263868,249526384.15761164,246558643.9316176
5822,248356799.2824707,251749535.24415234,251830770.89207947,251831827.80677366,253421609.55540568
5823,249881175.72021484,250157564.96328536,250124665.5240768,250047913.36850557,248356799.2825401
5824,247598823.85986328,250441191.68998763,250503267.2742268,250452615.29629117,249881175.7201456
5825,249757563.06298828,249567665.9610952,249607185.7127652,249541445.01604956,247598823.85992387
5826,246901989.13989258,250126491.63876387,250196167.5440871,250182725.9031964,249757563.0628789
5827,249962362.30664062,249114212.70419788,249153956.9026422,249101167.62197503,246901989.1399521
5828,253947092.39160156,250024774.78435764,250102829.66080382,250111235.13207194,249962362.30660543
5829,253114603.79125977,251643814.5428142,251634610.9744228,251701744.87096733,253947092.39172244
5830,251222268.0751953,251722102.8947135,251643079.085491,251648739.5659115,253114603.7912349
5831,250620104.3544922,251153284.00773552,251105541.74625275,251049249.67728582,251222268.07510105
5832,250420085.6628418,250887778.82442582,250882814.71277103,250819329.36177802,250620104.3543815
5833,250351825.85546875,250719938.1509808,250726371.22810352,250675366.28827828,250420085.6627831
5834,251097511.13720703,250626456.73114872,250636395.85366964,250594541.99752057,250351825.8555423
5835,253903013.27929688,250859552.21345866,250865151.41489768,250840705.8292703,251097511.13717172
5836,250555675.27441406,251969938.0052072,251945233.2273199,251958307.3746183,253903013.279416
5837,251267138.67895508,250955807.42189622,250896278.3301322,250833742.34419653,250555675.27431232
5838,250878102.55737305,251056816.42835632,251061190.311992,251013039.74992913,251267138.67883608
5839,253759513.07202148,250897233.2892936,250886610.878814,250845336.68256432,250878102.5574399
5840,258063295.77685547,251962604.4412939,251945257.50617927,251947205.93759322,253759513.0721329
5841,250689670.84423828,253839411.18030626,253742521.42531386,253785373.97499138,258063295.77677387
5842,251828575.31054688,251576161.47884756,251443105.43480784,251314969.25283545,250689670.84420183
5843,253691777.6994629,251665875.11062992,251676751.63500193,251576683.68048528,251828575.3105929
5844,251064437.59716797,252322988.1922091,252295980.55302835,252254099.25468528,253691777.6995269
5845,252501381.125,251449003.5064891,251402236.0452352,251310368.15049738,251064437.59719604
5846,253691671.91845703,251831518.6761035,251829626.95838538,251767815.78076157,252501381.125061
5847,249852716.80151367,252320745.57494414,252281442.08781525,252243633.23400912,253691671.9185401
5848,253018528.44091797,250987604.44564566,250948133.18150678,250838452.60761216,249852716.80150983
5849,252357755.43066406,251928234.8084833,251947253.83685714,251903137.07515118,253018528.44099903
5850,249300823.51586914,251815036.3417923,251771964.96746647,251720128.81717098,252357755.430633
5851,248532507.6225586,250670496.8041588,250660998.3809419,250552531.89881137,249300823.51598597
5852,249116357.13623047,250115134.24819067,250167436.0106691,250073936.4189303,248532507.6225872
5853,246201903.94995117,250131093.15088567,250190447.80090278,250137691.84000868,249116357.13628584
5854,251360727.10620117,248944034.36049482,249005132.29489535,248923750.33104828,246201903.94990733
5855,252196063.3618164,250560132.12116548,250645661.96560335,250671773.1053953,251360727.1061792
5856,251667430.99169922,251120651.42682186,251095277.14763927,251122974.60744172,252196063.3618292
5857,252170185.85302734,251095925.05940536,251060451.4262046,251044045.01109236,251667430.99170616
5858,250358740.3190918,251353739.80568874,251327371.1784544,251304250.87069032,252170185.85311237
5859,246636667.89135742,250735437.37467784,250708824.53023762,250652222.9784458,250358740.31913227
5860,250188978.46826172,249215430.6545482,249246361.2828188,249142989.0018041,246636667.89136916
5861,251903502.21240234,250154134.03718394,250233361.1172788,250227813.91282505,250188978.46837807
5862,252263772.38256836,250903748.41548604,250898938.9621064,250926122.63523963,251903502.21229985
5863,247499261.14111328,251219034.4926625,251181868.14704537,251186505.59187004,252263772.3824464
5864,249304176.9345703,249514801.3713658,249497392.6097152,249414084.6962027,247499261.1411235
5865,246878490.58374023,249854582.76953825,249920407.31760114,249892399.0070731,249304176.93449908
5866,246953763.1328125,248898875.53676045,248936164.03944677,248895040.7242321,246878490.58382925
5867,247450128.59985352,248698696.66298974,248784317.3082997,248762325.43642345,246953763.1327039
5868,244838752.04223633,248719092.2974777,248792913.5117429,248804606.3905002,247450128.5997403
5869,250131362.53881836,247695439.21879005,247773173.68468812,247751711.94427183,244838752.04233757
5870,250644630.0600586,249395630.2935953,249490526.72946534,249574472.90438396,250131362.53876743
5871,256656564.75952148,249889968.24486962,249874847.63385096,249948328.7174655,250644630.0600201
5872,253789674.19677734,252349335.2883787,252295357.5663253,252418719.8414065,256656564.7595007
5873,252908713.30786133,251913528.89374167,251762379.8247691,251774738.71822006,253789674.1968634
5874,253008337.4729004,251694878.97301766,251614523.78605375,251573902.1921328,252908713.30788013
5875,250546851.81176758,251786635.7401787,251724955.5374094,251685181.6113547,253008337.4728356
5876,248473839.81713867,250920405.0715588,250874135.97761673,250795181.53456208,250546851.81180868
5877,251418016.3786621,249953153.70949808,249967804.37135196,249876533.49824324,248473839.81720123
5878,251864770.60302734,250794737.68334967,250830375.91307124,250819465.43305168,251418016.3785632
5879,251629963.37426758,251073085.7661284,251046288.75285888,251043064.88719386,251864770.60311157
5880,249293550.7841797,251072760.2528833,251041298.94185618,251016814.4877203,251629963.37430832
5881,253908554.17822266,250218884.61578074,250205580.02869186,250140497.4907623,249293550.78409207
5882,255478066.25952148,251790672.797283,251797050.98221102,251816212.10400215,253908554.1781933
5883,250994525.71069336,252701569.87988222,252608509.86495265,252630330.60451457,255478066.25952303
5884,248608499.24853516,251291255.52979252,251198357.63369903,251109487.24417943,250994525.7105792
5885,246409491.44140625,250183103.980792,250194250.02339375,250079598.2939558,248608499.24858847
5886,252363857.8083496,249048396.87913436,249113900.30376554,249011626.1188703,246409491.44134083
5887,252804670.9404297,250951881.08481485,251022941.11657563,251054689.9716546,252363857.8084674
5888,243640131.05200195,251422432.18925324,251371676.2000168,251394618.7753563,252804670.94046345
5889,246239189.13549805,248088274.64563057,248082869.02018595,247937140.9733017,243640131.0520141
5890,247126810.4296875,248372819.40935537,248529592.9778738,248482790.20587432,246239189.13555643
5891,249949225.48461914,248552012.81135604,248641360.34736615,248659487.19183886,247126810.42973876
5892,249302038.30810547,249557191.84801337,249611705.4777527,249673895.06867245,249949225.4845236
5893,252021403.66333008,249505523.6623487,249506368.80569524,249537776.2225585,249302038.30809292
5894,247467781.9645996,250562989.0384165,250563078.46942177,250619016.6352041,252021403.6633752
5895,245807290.8959961,249075052.27187383,249045859.9392341,249012005.6190371,247467781.9647177
5896,248020924.29418945,248193880.58368635,248265959.54592463,248219255.41828004,245807290.89592025
5897,252376982.1796875,248741182.03065923,248827142.36479124,248857337.57604063,248020924.2941728
5898,252222014.70239258,250405819.6703969,250420611.69875297,250523283.49151334,252376982.1796204
5899,246561163.90893555,250726292.4366785,250658708.64016858,250716203.79509234,252222014.7023927
5900,243486686.02563477,248774716.84487757,248747540.90096083,248683838.89268705,246561163.9089475
5901,249366893.38745117,247230166.0537219,247329988.48206064,247252882.72928527,243486686.0257016
5902,248763898.4116211,249018136.3997185,249139164.35205787,249211824.5732938,249366893.3874824
5903,248946734.30395508,249027956.2483614,249032633.7846712,249091347.4906599,248763898.411572
5904,248082336.7216797,249135118.80365092,249154001.27043486,249191682.56736085,248946734.30399236
5905,248937063.35473633,248840187.58378413,248858527.60754856,248879702.8781363,248082336.72160983
5906,253024249.44213867,249095412.03542536,249125658.19689995,249163962.5702751,248937063.3548251
5907,247782727.18432617,250681970.42455205,250671119.82286593,250768199.392127,253024249.44202995
5908,252250399.18701172,249095666.08947793,249037163.38603234,249015682.1647437,247782727.1843753
5909,251718482.72021484,250544667.52661318,250568491.15768147,250617583.02492854,252250399.18692163
5910,252546290.93237305,250613732.6367837,250549923.2899277,250583862.14528403,251718482.7202964
5911,253280624.58422852,251015571.69841287,250963085.8530199,250984846.63247782,252546290.9322905
5912,254595084.1213379,251455258.32404765,251385003.05367997,251401644.117401,253280624.58414388
5913,252209432.8425293,252116471.4502874,252028424.99182776,252044400.85494992,254595084.1214353
5914,252725346.1940918,251451612.87142158,251355942.97442684,251309897.7792021,252209432.8425865
5915,254993731.87036133,251599281.29155588,251552580.7166939,251511718.91585463,252725346.1940745
5916,251507916.81079102,252506504.14355978,252437188.471994,252433034.83359027,254993731.87028503
5917,252609098.14916992,251452757.45860192,251363557.6137278,251281785.8917164,251507916.8109096
5918,248037383.75048828,251713100.77886993,251689394.63981986,251629265.77472597,252609098.14920703
5919,250784353.47705078,250020122.90363324,249999150.73011398,249881737.32613415,248037383.7505067
5920,250584756.04467773,250649999.96453846,250702426.80902267,250663042.7222533,250784353.4770982
5921,251027293.0300293,250592972.40487933,250586487.08017358,250562858.91348425,250584756.04464
5922,250473948.3684082,250732603.3559091,250728967.35723692,250707924.67668033,251027293.03001437
5923,248356742.07543945,250530660.79865274,250519655.77081108,250490560.10957387,250473948.3684252
5924,249136841.95117188,249683394.62343013,249694329.45569554,249636555.43191445,248356742.0755444
5925,249780348.92919922,249781292.22582853,249828043.5534236,249802465.321968,249136841.9511664
5926,248948126.921875,249969186.31771308,249993438.56439522,249992195.31813952,249780348.92930737
5927,244678695.9387207,249659112.94000876,249674713.7245567,249659706.43789673,248948126.92185315
5928,247968988.04882812,247953292.68086013,248006885.22190702,247935082.47079432,244678695.93867725
5929,250753622.08740234,248785690.0326036,248901113.90933132,248920037.43050128,247968988.0488504
5930,248506451.8774414,249869484.02421054,249898163.59497154,249974469.50339317,250753622.08744535
5931,246638875.31689453,249222882.6703536,249210063.5838245,249224662.25521508,248506451.87733063
5932,249561777.92236328,248423741.98702207,248466224.714149,248449007.53437662,246638875.31691125
5933,250891557.61572266,249326983.70968625,249385594.44345567,249436436.75183234,249561777.9223185
5934,250564348.14038086,249991348.72534403,249984179.15094447,250047721.9294275,250891557.6156951
5935,250976094.47851562,250033501.65438077,250005453.46138528,250038418.4510299,250564348.14034852
5936,248959812.5012207,250231009.91009378,250207130.5048428,250234485.42892757,250976094.47857848
5937,247743696.37646484,249578921.255167,249560519.1973923,249546199.0126738,248959812.5012217
5938,251189098.55615234,249010487.80195546,249039807.71762148,249015042.02174833,247743696.3763439
5939,249272385.9658203,250164915.55997658,250197392.0283144,250245162.95206806,251189098.55623224
5940,248646800.29370117,249643584.39087188,249617949.2650832,249624966.9586498,249272385.9659318
5941,245071964.71020508,249347243.06482244,249366413.60205203,249357423.53716916,248646800.29368263
5942,251237122.90039062,247888026.54643628,247936025.86445957,247890625.80361027,245071964.71010596
5943,249055154.8857422,249865863.19621992,249947192.51470122,250029159.19427204,251237122.9003629
5944,246830449.82861328,249390756.8150761,249359920.98008725,249392157.52198076,249055154.88563836
5945,247907282.91186523,248529400.42592052,248559623.09112024,248538596.3296926,246830449.82860973
5946,244355531.47143555,248717532.3757431,248781679.5894403,248803090.33563343,247907282.9119168
5947,246156015.47509766,247324948.25663656,247383936.16964793,247367476.00868487,244355531.47148585
5948,242988042.23266602,247671508.83098453,247787932.4466325,247826854.6078253,246156015.47498223
5949,250774965.16235352,246459463.45468244,246553546.6774917,246561751.75235116,242988042.2326032
5950,251213221.21899414,249079733.635561,249190411.10954762,249339355.07353485,250774965.1624508
5951,252950558.70483398,249732967.3742079,249684564.11280945,249806174.20312637,251213221.21897355
5952,250863947.1213379,250674040.41512138,250615796.34456068,250704487.58476242,252950558.7048552
5953,251074594.60083008,250217097.61418122,250139486.30480003,250156825.21853969,250863947.121401
5954,254159940.43823242,250328292.69953132,250296785.50369447,250302785.5294028,251074594.60091195
5955,248263679.85986328,251539918.16679832,251486863.7295442,251539155.34343788,254159940.43819135
5956,249541147.19995117,249645992.35451388,249570356.69961798,249502972.63218626,248263679.85991147
5957,249523310.47192383,249798883.25733438,249835577.5884698,249805209.99688306,249541147.20004785
5958,247815199.04638672,249748839.63379833,249755524.93178743,249751226.29016384,249523310.47194093
5959,243449407.05932617,249066231.09528828,249083858.53818667,249056923.95032328,247815199.04640755
5960,247100800.21557617,247231611.03309563,247305303.11162376,247232944.92638862,243449407.05935824
5961,244517572.83642578,248111446.10290718,248244344.08579192,248281389.09693366,247100800.2155104
5962,246596644.24023438,247162832.50932637,247230769.54079032,247247749.46657166,244517572.83637744
5963,248789541.58764648,247700596.75205222,247807223.81229493,247868194.41018283,246596644.2403296
5964,252569130.24951172,248535999.63518986,248582441.27463946,248685164.5159936,248789541.58772105
5965,252718699.55078125,250148820.86840153,250132372.02627409,250266059.7736476,252569130.2494661
5966,249959275.50976562,250612764.84252656,250523438.48983264,250609583.11862904,252718699.5507764
5967,251228033.40356445,249834410.7139559,249764684.04400063,249765573.83155933,249959275.50988385
5968,250966386.2854004,250238578.36493793,250218496.55075037,250239556.26597312,251228033.40364045
5969,253219170.84716797,250235910.07921138,250192656.75860643,250210174.60248366,250966386.2853613
5970,254928500.1130371,251126925.80006975,251079722.44964603,251123100.51406196,253219170.84713823
5971,253266860.63378906,252005802.00820634,251906922.8291507,251954161.60229838,254928500.11311293
5972,249623146.79956055,251678768.71739605,251561841.63974714,251546536.8484715,253266860.6338557
5973,246925512.8815918,250342274.7913918,250283431.03070375,250201746.54408482,249623146.799644
5974,244764910.2854004,249048459.8961875,249076452.24916217,248986392.10266715,246925512.88166943
5975,252368430.83154297,247853730.63953975,247941778.5949955,247872354.5116176,244764910.28531927
5976,251832405.27563477,250358691.84867275,250442037.02668667,250535345.32423204,252368430.8315742
5977,251763763.70996094,250588780.9275811,250523385.97211525,250581651.3599105,251832405.2755488
5978,251096475.02734375,250710327.83378747,250662466.94267926,250677552.8275462,251763763.7099124
5979,251715474.60180664,250550514.8796203,250507615.62770382,250500774.61109766,251096475.02742156
5980,249050221.2775879,250808622.0964144,250777799.02993715,250775851.13875252,251715474.6017777
5981,246313667.55297852,249871113.3658444,249844065.55780515,249798449.6277456,249050221.2775791
5982,247566644.39038086,248638386.60794875,248679215.24652317,248610270.6597164,246313667.55301407
5983,250288363.09594727,248769181.84461075,248852404.01145768,248846108.08441162,247566644.39050293
5984,249146488.5654297,249703104.51586896,249741533.2025605,249798799.35888344,250288363.09591863
5985,256683002.66870117,249436745.22701213,249427488.61486736,249450660.3896031,249146488.5655496
5986,256256167.4958496,252284002.92277756,252257545.18342453,252380879.45396554,256683002.6687976
5987,253775018.5703125,252766907.44233194,252596284.39620584,252654622.73413444,256256167.495796
5988,255226139.18066406,252155225.0810722,252018901.90460432,251977382.4977799,253775018.57043356
5989,253171545.3173828,252711135.720114,252618452.51600435,252592114.58794746,255226139.18073693
5990,250002223.4987793,252133483.12494102,252028148.7765496,251960542.67688826,253171545.31734285
5991,249163818.04638672,250859408.49480727,250816350.33147117,250705133.4052597,250002223.49867544
5992,249614591.78466797,250249163.17489046,250271392.34315628,250184629.61475328,249163818.0464033
5993,247739849.3256836,250204866.22115728,250238201.84068197,250194523.01859015,249614591.7846625
5994,248040163.04296875,249395607.51476192,249427657.50698522,249374011.85134268,247739849.3256651
5995,249853883.77954102,249294367.68410254,249360371.59178865,249332405.2957646,248040163.04300967
5996,250000373.3413086,249870940.57689992,249915716.47962385,249933237.26083598,249853883.7794549
5997,248943544.2001953,250038641.5776805,250047316.02989042,250056688.0334514,250000373.341396
5998,248419437.7294922,249670726.4519136,249682313.59234858,249666037.54546723,248943544.20023865
5999,246709273.31420898,249389807.02674347,249423984.62369123,249405878.73460084,248419437.72956985
6000,245945365.71826172,248630936.12995794,248681787.2588675,248652916.3762788,246709273.3141717
6001,250166512.70361328,248124475.81308562,248209843.38993928,248193405.21797287,245945365.71829668
6002,252576406.53515625,249525005.16578412,249597889.53110927,249670632.68440446,250166512.7037104
6003,251418628.8630371,250651157.86261642,250624163.8149575,250717251.33906654,252576406.5350404
6004,250250716.54711914,250543681.4158674,250480655.56983903,250508630.82597703,251418628.8629789
6005,247022487.67382812,250181749.24792928,250151509.1892651,250141140.6769979,250250716.5471743
6006,254215201.33740234,248913454.17493743,248924647.73961258,248872406.2629825,247022487.67383757
6007,250842383.2668457,251345139.3202723,251378033.95953557,251463149.26648337,254215201.33748344
6008,253491113.83984375,250569456.4931002,250480476.21033508,250482519.80912587,250842383.2668832
6009,257823180.85205078,251534053.7502977,251504508.19169623,251521247.1214938,253491113.8398038
6010,261042858.7915039,253435307.6749691,253329767.32327038,253393455.51609093,257823180.85201585
6011,255587979.49682617,255200655.75663164,255000731.48285466,255048273.93435597,261042858.79161125
6012,249313044.9326172,253748877.5657176,253528048.44504744,253416330.2648956,255587979.49685687
6013,251550193.7626953,251264701.17948663,251194667.20226008,250982730.07147887,249313044.9325463
6014,248799949.52514648,251553272.32433996,251590468.7635459,251483014.5269553,251550193.76260588
6015,246359128.7722168,250432645.951124,250436621.40049326,250326560.18082833,248799949.52518427
6016,250669955.08666992,249199786.66901127,249270904.95384985,249152957.0739059,246359128.77228567
6017,251074945.12060547,250441925.20892075,250529896.73425794,250526117.98697823,250669955.086747
6018,256160189.20947266,250724252.27085018,250720150.9326957,250724564.68458557,251074945.12072027
6019,252068542.88720703,252709976.2370423,252671164.6629542,252730777.67910084,256160189.20940495
6020,247670304.65771484,251624330.03358984,251509255.5894694,251461068.42256972,252068542.8871393
6021,252918651.07177734,249863314.4564787,249859206.32482564,249732224.55762652,247670304.6577977
6022,252134713.95458984,251453618.07743552,251501886.68722108,251501094.34376004,252918651.0718664
6023,252578582.48242188,251432998.5779904,251381301.11670068,251362522.00819272,252134713.95458877
6024,252576124.49389648,251640165.84640998,251606157.40270415,251572868.80257395,252578582.4824361
6025,245244863.39575195,251706253.89785862,251662939.8915436,251624005.45088893,252576124.4938667
6026,250262581.24316406,248964905.7765688,248963472.45214635,248811530.7513192,245244863.39580837
6027,247929534.0012207,250249593.78351513,250362007.63072616,250342187.8861043,250262581.2430797
