idx,truth,norros_f,linearP_f,farima_f,persist
5808,251321909.3955078,250339724.78849,250400157.8978117,250268510.05368215,248860332.5211352
5809,252123008.1357422,251254911.59205097,251357068.4552767,251318998.0339424,251321909.3955468
5810,249048405.56054688,251673121.7770621,251661391.38757843,251667766.9358185,252123008.13576892
5811,250043123.10205078,250189420.60417804,250158231.55810255,250086688.59359148,249048405.5606212
5812,247066560.03100586,250457168.86546186,250545371.98257303,250490502.8716132,250043123.10216305
5813,251466385.39257812,248832263.24180207,248859580.8698603,248787416.88403293,247066560.0309312
5814,253618322.5625,250826095.15347013,250968649.63810095,250979355.56123802,251466385.39259765
5815,255497198.78271484,252188010.0054065,252146696.84299558,252223604.86786816,253618322.56244
5816,249065152.8244629,253461477.06315416,253357854.34079236,253417686.07333848,255497198.7826566
5817,244040979.45703125,250487344.52560917,250330637.95927504,250231892.75093436,249065152.82444707
5818,250239017.13793945,247433875.74674362,247530995.94070408,247326675.78478175,244040979.45712876
5819,245178717.02563477,249981598.4856874,250233503.3681974,250225587.21173376,250239017.1379757
5820,240231703.2758789,247537801.47104084,247519742.60117927,247484593.78871945,245178717.02552652
5821,247482615.77612305,244523967.55637637,244716330.65294725,244558680.51693875,240231703.27599108
5822,253972281.74682617,247570815.22120523,247910019.9202513,247961829.2606282,247482615.77616903
5823,249848005.703125,251231048.23451653,251262060.75433224,251487990.57370982,253972281.74687827
5824,251277068.60791016,249791418.5369192,249607894.3055018,249675119.11763555,249848005.7031511
5825,257422686.00390625,250539300.7429712,250550500.9219782,250561462.18596497,251277068.60780564
5826,252962959.20458984,253920192.21916544,253865619.9389615,254004766.84395066,257422686.00381795
5827,248369571.6052246,252315694.43061766,252051371.2417823,252067464.89977044,252962959.2045212
5828,245735159.4567871,249857000.3582967,249800689.740654,249662540.3770583,248369571.605248
5829,249190527.66552734,248070492.4397157,248168566.66987026,248026370.2662119,245735159.4567808
5830,255818712.9230957,249485722.55607623,249666791.00379917,249645765.79042807,249190527.6655116
5831,251442871.5192871,253039355.52690157,253073174.18236393,253207147.05318943,255818712.9229973
5832,253917976.65478516,251427016.6665917,251226700.83818996,251233569.9911335,251442871.51921344
5833,252811958.9013672,252662785.9212769,252668026.88453814,252643261.65660968,253917976.6547577
5834,254966369.50341797,252304436.8468284,252199570.33732596,252179592.1782352,252811958.90135583
5835,256173512.20654297,253448965.36617786,253405964.95276058,253395134.40945786,254966369.50340143
5836,255076923.41870117,254305590.8498496,254178862.1500885,254189482.1789474,256173512.20650288
