idx,truth,norros_f,linearP_f,farima_f,persist
5808,257120013.14648438,252132771.012888,252370683.8547628,252288511.97011298,251525551.483629
5809,254468852.41430664,255524492.85066417,255648889.72277564,255733747.16055506,257120013.1465521
5810,255722490.52294922,254370353.01009867,254177638.90649956,254218670.8884005,254468852.41436395
5811,251998908.28710938,255137147.77828366,255158229.85384247,255122766.82529828,255722490.52304232
5812,254009740.43969727,252968549.76710802,252857799.29976705,252789042.46065792,251998908.28717527
5813,252885798.28930664,253936180.40632015,254066008.37871382,253990104.8694128,254009740.43975565
5814,248395477.7800293,253309722.12991256,253281943.1246679,253251229.97332343,252885798.2892814
5815,248950290.06835938,250503990.4955339,250510501.76409093,250363361.21612805,248395477.7800345
5816,248506418.54418945,250376427.27010533,250612574.12578836,250471268.5017562,248950290.06831372
5817,250128875.5769043,249886500.66649422,250033004.26759827,249960866.3813253,248506418.54409605
5818,251538967.28930664,250680974.45000482,250856760.00630736,250818897.09629917,250128875.57680187
5819,252285692.1743164,251569033.23318908,251656593.59334967,251671199.08587313,251538967.2893989
5820,254082034.83520508,252109318.00817308,252131446.0342382,252150383.20307514,252285692.1742969
5821,250193444.31054688,253317337.85336927,253330440.80488452,253365874.57307836,254082034.83524448
5822,248048600.08740234,251147991.91560075,251029568.89534914,250987191.72879028,250193444.31057835
5823,246988824.90942383,249613250.50242084,249704889.48433295,249567887.31403527,248048600.08745345
5824,249009798.1599121,248650268.82689142,248805827.20986906,248691857.160968,246988824.90930283
5825,253143756.98999023,249615595.54185417,249820405.72420302,249777280.45860907,249009798.1600084
5826,252354943.86889648,252162551.17464694,252280527.93707338,252353973.5741477,253143756.98997265
5827,250526837.13305664,252028222.20872876,251926315.0922742,251987312.787681,252354943.86883965
5828,252359272.1755371,250989272.70103976,250949673.31576782,250909753.85658804,250526837.13304576
5829,249667926.56079102,251959311.53158447,252024953.52542192,252014176.26746777,252359272.1754985
5830,245847124.53857422,250453839.8720833,250383317.11070368,250356245.82596993,249667926.56073084
5831,248036178.63476562,247908268.99663058,247960714.0901073,247821023.35997242,245847124.53861085
5832,249854634.21948242,248767824.02249753,249009923.98599613,248930371.73926845,248036178.63482395
5833,249394020.17797852,249894754.28711784,250000493.28652126,250028497.54827046,249854634.21947315
5834,248219400.66845703,249762947.32353657,249782945.52127483,249789305.34778225,249394020.17806968
5835,246179655.51708984,249062173.69859394,249108390.1080346,249064209.19659397,248219400.66839945
5836,246272378.73608398,247723443.67336977,247804082.82138085,247718843.9651841,246179655.5169767
5837,250218304.97827148,247564421.4754656,247747857.62653223,247671008.33245713,246272378.736071
5838,247106376.65625,249791627.81723073,249979401.50722244,250014735.79600406,250218304.97835076
5839,248546931.32299805,248137749.2383459,248070633.81313667,248075963.9488122,247106376.65629748
5840,247299705.45166016,248856398.65590957,249005851.33276203,248963419.92939234,248546931.3230924
5841,251142473.10058594,248158920.0971805,248186005.004946,248170806.65872556,247299705.4517191
5842,254510519.75073242,250403287.12387455,250552215.8496631,250582101.66256517,251142473.10052904
5843,255229624.44750977,252722451.44066605,252681244.0410077,252816517.4907651,254510519.75062272
5844,253182727.7915039,253600182.3776185,253425758.8260853,253534098.58529383,255229624.44758287
5845,258543704.25610352,252664026.04962072,252472445.16601393,252484496.9427645,253182727.7913926
5846,253590614.88623047,255937041.81785142,255930113.85697785,256004476.2719525,258543704.25602064
5847,255393014.77490234,253478265.0920576,253132875.07209015,253162359.47327954,253590614.8863314
5848,258035044.46533203,254389639.92053244,254391308.89814267,254340353.95700866,255393014.77492064
5849,261212216.38256836,256111904.69554344,256003019.35220534,256075880.62406772,258035044.4654232
5850,260006833.10229492,258362057.1182957,258171717.22533748,258290091.20873556,261212216.3825152
5851,259531544.0498047,258098619.1281901,257760915.93691933,257830987.49383682,260006833.10237035
5852,256180528.9831543,257958197.33436286,257726979.90217793,257722081.5971613,259531544.04987985
5853,252708544.65283203,255987071.94389054,255750244.5749503,255683130.19518152,256180528.9830736
5854,249788994.9013672,253654134.7525908,253569806.4655693,253416169.62804878,252708544.65271804
5855,248103713.11889648,251507530.27665105,251552995.33404103,251373246.79819214,249788994.9012597
5856,251643947.7775879,250044715.94616902,250197330.7527331,250029630.27544907,248103713.11892867
5857,251508801.1767578,251754361.8575952,251985094.23419788,251936399.2487204,251643947.7776576
5858,252952895.23779297,251746978.07408828,251754882.98695502,251767098.1404028,251508801.1766975
5859,254269541.16503906,252579709.1093422,252625019.74882084,252624979.7939794,252952895.23781595
5860,252639114.22387695,253497432.4738711,253471633.08659238,253509233.7589602,254269541.16510025
5861,245856788.28735352,252654432.8946143,252555205.9139976,252547621.31353813,252639114.22394997
5862,250004515.89868164,248435062.1389171,248363922.3746642,248197501.2150815,245856788.28735763
5863,252951181.26879883,250318251.2768015,250637510.46597654,250532032.90338263,250004515.89870957
5864,256987832.64916992,252163954.61353415,252216975.23515776,252296846.44975826,252951181.26878697
5865,256132804.24047852,254892848.2876872,254862755.36842737,254986078.76992726,256987832.6492435
5866,253856406.96020508,254871843.33521172,254643558.91443637,254729757.37292895,256132804.24044207
5867,252948053.6923828,253667995.18706557,253510599.54758558,253478272.37939483,253856406.96027625
5868,253247439.9489746,253030097.9612795,252990881.58330444,252928100.58703023,252948053.69237384
5869,250491281.41625977,253076860.9003442,253071542.67719445,253037852.11172,253247439.9489347
5870,250792475.81152344,251374803.0724034,251317887.92642424,251248929.0088773,250491281.41636536
5871,253120369.53515625,251301233.93200698,251396016.28110605,251315121.5360655,250792475.8114259
5872,256919867.3425293,252636840.3874441,252709335.3267299,252717650.4341816,253120369.5351569
5873,257521705.72729492,255119642.11566928,255108772.63974226,255203310.82209885,256919867.34253624
5874,250963273.55639648,255885053.46467796,255697060.29543716,255792515.17987525,257521705.72728935
5875,255657567.60742188,252151945.27605987,251905808.4903809,251818769.4940795,250963273.5563537
5876,257822776.77539062,254574207.81698996,254744293.11854315,254688609.60176042,255657567.60751355
5877,258002536.17358398,256106113.49573168,255986681.50561336,256091071.51714414,257822776.7753369
5878,257336193.35229492,256511857.26522556,256324808.63167045,256378987.82804537,258002536.17365703
5879,255444577.5505371,256325315.6637013,256151284.57436767,256155339.08678922,257336193.3523711
5880,257642598.41796875,255256346.24758244,255115238.9686816,255065821.54117978,255444577.55053827
5881,254543780.26220703,256478137.00220722,256463807.1650877,256448394.22862238,257642598.41794863
5882,252255928.9362793,254755211.89119276,254579553.52473626,254544227.1767112,254543780.2621318
5883,253920009.1208496,253167572.93033284,253159712.25666314,253031100.7532004,252255928.936288
5884,251320132.8659668,253904157.96366668,254005232.86823165,253940202.06569958,253920009.1208395
5885,253550832.8955078,252358357.07330492,252325819.41536328,252259621.47958714,251320132.8658597
5886,251222247.30615234,253447606.69849545,253583650.398255,253528805.6549914,253550832.89561844
5887,252390969.0480957,252122222.12477085,252087077.2056675,252042653.04792792,251222247.30615744
5888,250870831.8935547,252643261.7594327,252761332.57337987,252696237.98243913,252390969.04803228
5889,249734630.9880371,251759674.36349946,251775408.6575067,251723501.15907508,250870831.8935905
5890,249108101.8449707,250936204.48197305,251032503.63488403,250936641.9828072,249734630.98807317
5891,251764690.1298828,250359372.3549296,250489706.38104513,250401582.38970357,249108101.84492856
5892,245396151.83813477,251787615.8546589,251954774.8143715,251936374.50807643,251764690.1299304
5893,250799342.29077148,248074010.28200597,248026840.53403232,247919268.3582222,245396151.8382139
5894,251766347.22094727,250777269.8065916,251136838.48300263,251061687.09404173,250799342.29084665
5895,249291359.88989258,251592006.92240527,251601143.24204832,251671613.54423124,251766347.221027
5896,249635691.20898438,250256331.9688997,250236472.44609118,250193474.17411995,249291359.88980123
5897,251643087.72558594,250311017.32765332,250432520.95734075,250367350.47075438,249635691.2090414
5898,248290034.60742188,251451252.79275277,251545302.57350963,251555466.74254936,251643087.72563344
5899,252590882.14038086,249530892.32641667,249482155.11812043,249440454.7516253,248290034.60750028
5900,247659821.8161621,251858227.98356944,252044123.65657473,252038780.50227493,252590882.14029816
5901,246962356.9267578,249098529.8814033,248965540.8007332,248942188.72156128,247659821.81622255
5902,249642510.0205078,248324787.58369952,248488501.97222316,248362428.95635268,246962356.92667687
5903,251334267.39160156,249729255.38591915,249901702.30834544,249894686.5222536,249642510.02062064
5904,251490215.3737793,250901875.3144179,250941234.03491232,250996628.3143911,251334267.39151764
5905,255079255.35375977,251188233.20291528,251158046.67215014,251191819.0906038,251490215.3737121
5906,253325835.74169922,253486722.67737317,253501675.18756527,253575569.66850287,255079255.3538604
5907,253514491.54125977,252814517.38500687,252627443.20179856,252680174.8387752,253325835.7417408
5908,258264293.37280273,252958402.50759393,252912072.4422162,252897530.50605068,253514491.54121384
5909,257353371.38134766,255886912.849978,255862930.49650505,255954282.59314558,258264293.372702
5910,251621469.03930664,255874486.73008978,255605608.15650463,255694123.07956967,257353371.38127944
5911,251713452.29223633,252601991.26135382,252384485.82025993,252280618.96899912,251621469.039409
5912,253098549.44995117,252284954.29539505,252381613.1353316,252248227.18266317,251713452.2922652
5913,250639341.71679688,252946936.23821577,253000938.64952162,252976824.0724445,253098549.44984272
5914,250964418.89868164,251467293.21783155,251418307.0317865,251364071.63034496,250639341.71672732
5915,251028201.35791016,251440498.55915466,251532853.82150158,251457885.35285115,250964418.8987568
5916,252187412.15161133,251397175.20869133,251445580.05074728,251413059.72991234,251028201.35782623
5917,252238918.49780273,252038679.28011703,252091907.0918273,252081915.98524427,252187412.15152383
5918,253798686.3935547,252154037.41442633,252142407.0056402,252141395.90037107,252238918.49777192
5919,255941221.5048828,253159051.19006538,253171931.35694805,253182826.65743223,253798686.3934493
5920,255385721.09594727,254643659.1854085,254598428.1176462,254656020.32173508,255941221.5049233
5921,255398158.29711914,254576402.82575664,254432417.43568358,254465173.6716063,255385721.0958895
5922,254073007.97607422,254646292.96182442,254551263.88457683,254543009.6791564,255398158.29704455
5923,252488466.44482422,253955001.8816743,253853836.7846436,253818644.03217652,254073007.9760915
5924,248877266.27294922,252933562.1073072,252896046.37751564,252818294.79730648,252488466.44477543
5925,243677777.41455078,250560262.38648406,250559549.70848557,250424419.18341517,248877266.27293068
5926,245437452.38427734,246964896.26667336,247085634.64773935,246860438.02562708,243677777.4144912
5927,244516972.72265625,247311918.0921218,247677924.7893829,247521905.74897692,245437452.38418704
5928,244984835.1040039,246524165.99464643,246718373.07995373,246651533.83339092,244516972.72274488
5929,244603619.59594727,246511621.56973323,246750902.00180566,246684977.86641884,244984835.10410187
5930,248581598.64013672,246122715.2237466,246298881.51419383,246257221.14374298,244603619.59596413
5931,249384017.96899414,248397769.94875017,248626326.70772535,248659698.13490787,248581598.6401076
