idx,truth,norros_f,linearP_f,farima_f,persist
5808,248771141.63110352,249447546.94471255,249469507.19135812,249437950.33777082,247680630.6294611
5809,252958172.4111328,249624820.2341439,249692964.99154234,249668814.0638126,248771141.63108853
5810,250689614.76293945,251192254.0594556,251210287.1586554,251237419.35104144,252958172.4110112
5811,250235059.95947266,250627327.64909077,250573855.9367193,250581302.58781996,250689614.76289225
5812,253623050.39794922,250401905.78891152,250399332.84915784,250381820.6013963,250235059.95941105
5813,251044946.82861328,251698791.0028875,251686015.98595348,251701695.50864783,253623050.39790225
5814,252479346.35498047,250987670.34606832,250922089.8332363,250917744.0076161,251044946.8287316
5815,246611997.31469727,251447524.38843188,251429832.50480452,251421205.8065571,252479346.3549122
5816,243480831.47314453,249272294.80308342,249255545.86596715,249205009.16797027,246611997.31470424
5817,248031164.8762207,247583683.92706743,247703095.61900094,247619936.66032475,243480831.4731599
5818,242650218.8486328,248786594.6840284,248932600.76504704,248920030.83252245,248031164.87633723
5819,245242017.95922852,246808658.91213906,246885728.12484047,246853329.52758408,242650218.84872657
5820,251157782.1875,247333787.90216717,247504528.159353,247482682.86707908,245242017.9592027
5821,246029036.42089844,249562062.06938398,249636807.72598463,249695226.16594386,251157782.187428
5822,244163872.74023438,248041548.17497703,248025875.86316964,248036108.9387181,246029036.42101955
5823,249477679.67797852,247092715.29881078,247195195.47949854,247159512.53062147,244163872.74023965
5824,248239865.75561523,248849812.01450518,248952621.1223292,248981799.12675694,249477679.67790517
5825,248164849.17407227,248672465.23558196,248672024.4794318,248704376.9949827,248239865.75572145
5826,245955729.86328125,248687287.44448033,248716746.92899388,248725242.2455026,248164849.17396337
5827,243358567.30810547,247875043.2810619,247918167.39909372,247907422.32662478,245955729.8633217
5828,248971192.20947266,246652927.1183634,246752367.1529603,246719735.1010472,243358567.30799517
5829,250966891.14819336,248473054.86961097,248588846.80172276,248617023.05604294,248971192.20945024
5830,253130556.70410156,249525737.54227194,249512482.7155661,249576755.1174741,250966891.1482968
5831,253471314.54638672,250654881.17773047,250594621.8028501,250655452.41105053,253130556.7040581
5832,254343184.50952148,251148342.7664382,251047071.51021793,251094382.1942597,253471314.54637656
5833,253685424.96289062,251721190.11067632,251614259.93856388,251650177.96858233,254343184.50955743
5834,249280126.37524414,251721497.86586663,251605888.7138063,251624744.64259434,253685424.96292597
5835,255094388.76123047,250153305.69408882,250082322.8541068,250050757.29215023,249280126.3752208
5836,253375984.1286621,252092668.50599208,252080540.95571607,252096805.00054896,255094388.76124752
5837,258812070.4321289,251813241.36142883,251692080.10212,251713552.32009256,253375984.12857643
5838,254507127.8996582,253975973.2195466,253869089.76456472,253910825.75700825,258812070.43218365
5839,253117763.03515625,252886939.60655972,252697409.43987015,252701591.6338742,254507127.89977568
5840,250750050.14941406,252313603.4766376,252230787.4637207,252190093.08764127,253117763.03518215
5841,249395610.68115234,251278120.18754756,251234236.80918145,251184723.64039952,250750050.1494951
5842,251219250.49169922,250507051.1000428,250518389.74067593,250464937.24559104,249395610.6812448
5843,250156692.5595703,250958235.23659128,250983909.5606413,250961704.28045222,251219250.4916884
5844,252765766.4736328,250546369.11636716,250536648.85659212,250518977.53684753,250156692.55959165
5845,252939151.2253418,251470407.44752735,251469532.37994766,251469877.59040058,252765766.4736098
5846,250163886.05859375,251693371.83712372,251635869.25896886,251644207.3236761,252939151.2254333
5847,249285283.28588867,250739499.8527983,250697424.70655552,250669385.5554459,250163886.0584908
5848,246044004.31982422,250213821.7975409,250232955.3959244,250193516.31189206,249285283.28587252
5849,249565213.38549805,248762097.5284922,248811506.03861383,248758238.62285537,246044004.3199342
5850,247441667.72460938,249719028.16627955,249810333.5630377,249797078.8132849,249565213.3854628
5851,252766055.50952148,248976126.5947954,249001696.11848155,248992410.2576415,247441667.72463995
5852,253560625.66210938,250843553.6684981,250882847.0289559,250910102.01900932,252766055.5094444
5853,251469755.03222656,251524021.75582975,251448414.68313497,251492929.4042443,253560625.66214317
5854,250095714.31347656,250977823.59510198,250905164.07963625,250906064.0062586,251469755.0323099
5855,253253284.08911133,250413262.2428273,250392258.8022291,250369280.2628756,250095714.3135465
