idx,truth,norros_f,linearP_f,farima_f,persist
5808,250525558.83642578,250557773.5592554,250538604.59368813,250541993.34863833,251240552.3604166
5809,249385793.27319336,250354050.70794854,250312268.0942768,250326045.33124998,250525558.83634704
5810,249855258.16503906,249772626.2638585,249760649.746394,249752371.77873826,249385793.2732135
5811,243529089.65722656,249912691.21120048,249937111.01205036,249918966.88536897,249855258.16495737
5812,240446550.03833008,246810576.67537963,246825542.31638402,246785196.82929534,243529089.65734425
5813,248714396.25268555,244735185.69798502,244969155.56970084,244828779.4879778,240446550.0383249
5814,247256537.27441406,248152971.49260944,248435634.5175081,248335821.7644585,248714396.25268248
5815,253704114.24389648,247866295.84103698,247858141.27043837,247878953.86082348,247256537.2744475
5816,251966638.00610352,251042058.23899248,251095287.9643757,251090643.87408066,253704114.2439384
5817,256819842.59838867,250794880.07509583,250630520.86131045,250707109.1959202,251966638.0060889
5818,254264331.01635742,253376101.01470754,253295971.493078,253339710.54438937,256819842.5984392
5819,253723580.6760254,252707623.6861292,252474337.15397406,252573005.65620995,254264331.01647037
5820,251447641.93310547,252566551.3007161,252451890.46088633,252485280.76288074,253723580.6761064
5821,244928189.42749023,251514859.12182498,251424265.9638917,251448739.28435853,251447641.93310493
5822,242717063.4921875,248143140.8270312,248143300.95344746,248102673.69906944,244928189.42758003
5823,240687514.15551758,246393302.2879018,246604524.1775028,246479590.58312914,242717063.4922168
5824,245370776.4765625,244838818.35737678,245093777.62818918,244966807.17305964,240687514.155612
5825,254097628.81640625,246606353.6355113,246897066.5474137,246786573.23498848,245370776.47654405
5826,251529339.65185547,250984564.34844834,251080347.17162412,251094711.00477415,254097628.81651655
5827,253609287.6044922,250524727.34930077,250346257.09875736,250438385.02522025,251529339.6518591
5828,252802065.56884766,251715809.50168586,251656902.14155087,251679190.42190102,253609287.60443223
5829,252766032.27563477,251612382.16078386,251480129.6706619,251534162.1344484,252802065.56886423
5830,248751957.99194336,251748629.4453169,251664685.18481848,251694320.5933295,252766032.2755573
5831,252321907.27246094,249851683.2663011,249779753.34136534,249788267.5838478,248751957.9919608
5832,249600174.30541992,251297898.79888716,251354025.47973683,251328663.22599044,252321907.27238595
5833,252032904.9411621,250194334.7201407,250128035.86091903,250156514.7450753,249600174.30548945
5834,257517834.49243164,251204100.87308803,251234657.2654965,251222305.62363565,252032904.9411739
5835,250161182.52978516,254066212.58358324,253997513.25834695,254061751.34178844,257517834.49231607
5836,248477945.34106445,251023936.80590162,250798083.5654537,250879494.61106828,250161182.5297796
5837,248210884.38208008,249840632.02660173,249888969.17395255,249835518.8529236,248477945.341082
5838,249591580.25048828,249372611.65731302,249449863.83210683,249409836.86692658,248210884.38207063
5839,251876374.59423828,249820569.3110221,249891448.4893759,249864230.37301004,249591580.25059968
5840,251489747.14257812,250969216.80390224,250985247.46426028,250992578.9548162,251876374.59428787
5841,245071370.46118164,250987590.11167258,250930449.95210624,250960025.28396904,251489747.14266387
5842,249090577.515625,247909777.50802284,247889974.20248595,247867234.47690335,245071370.46107435
5843,255542887.3930664,249277068.6664769,249453537.4823982,249370294.11597323,249090577.51550427
5844,254045396.36621094,252567130.70107052,252575587.524433,252615425.8331165,255542887.3929559
5845,249180001.1237793,252407306.10652894,252214971.68346167,252309067.41761383,254045396.3662221
5846,255351833.02685547,250223723.45679468,250119784.42715034,250133525.50998446,249180001.12381288
5847,244251795.21142578,252956374.08988723,253004750.9470236,252994763.07176715,255351833.02683708
5848,252052774.67211914,247907813.11915734,247756758.09946248,247789852.10678387,244251795.21142215
5849,248491914.76513672,250902939.10035887,251127669.41893834,251025499.24371243,252052774.6720145
5850,252277780.83276367,249483291.6146589,249409444.27357495,249449581.09002998,248491914.7650344
5851,252532055.34033203,251163427.1660266,251232039.5944985,251206379.90557083,252277780.8328683
5852,250334866.45166016,251526442.68755963,251449620.9050004,251494277.78312212,252532055.34023163
5853,251145695.86767578,250631493.80442476,250571038.79804915,250586867.32474646,250334866.4516352
5854,246970050.55932617,250904607.6712417,250917193.54254797,250906735.27255154,251145695.86772177
5855,250408691.89672852,248876228.24385148,248862842.73745203,248850947.68018973,246970050.5593464
5856,248021365.1748047,250175229.5630605,250295105.73790675,250243448.15107128,250408691.89676595
5857,248442960.8408203,249113056.76546136,249102846.86927477,249106226.29426372,248021365.1747299
5858,252644891.60107422,249133401.56517407,249213023.3522051,249170301.9245319,248442960.84082907
5859,249477888.64575195,251113349.74972576,251156775.54851615,251154531.61752582,252644891.60103583
5860,247804364.54296875,249922491.5723135,249832732.13297212,249865855.9237201,249477888.6457452
5861,247627397.8869629,249040540.3142471,249081930.7516023,249043249.7141046,247804364.542978
5862,248517418.84765625,248747831.67561805,248830988.9124885,248785933.39174008,247627397.8868685
5863,245275457.97338867,249087284.05125043,249169768.63081393,249137351.21669796,248517418.84763125
5864,243984566.9482422,247474886.5101628,247526422.93392143,247490670.47796157,245275457.97344828
5865,250556806.74438477,246522892.9432541,246684185.99257484,246596659.91089314,243984566.94831747
5866,246879284.14453125,249412261.3032117,249581674.30607587,249531869.1187549,250556806.7444765
5867,250505210.82983398,248010804.53164274,247957494.45390466,247982071.4450199,246879284.1445802
5868,252541932.61279297,249613920.76304322,249697506.01782772,249659602.8907936,250505210.82986325
5869,255804859.4453125,250853227.51534218,250796070.88518825,250834201.80904245,252541932.61283216
5870,253147956.5349121,252797628.4565884,252686799.76845232,252747799.92371827,255804859.44541305
5871,246131943.7878418,252014491.41151005,251816678.75739062,251892407.4201309,253147956.53500825
5872,248922857.1340332,248663219.02864513,248591813.0406244,248575197.61172006,246131943.7878783
5873,242802873.79833984,249486359.05283582,249642255.13961247,249562413.96813953,248922857.13413548
5874,247050167.8564453,246421534.0652221,246465731.55645877,246425974.49741447,242802873.79834864
5875,246071383.52001953,247891321.7770605,248135169.56394452,248027270.5885431,247050167.85651243
5876,241039208.47021484,247450276.8750883,247520559.22902563,247498460.89469442,246071383.51996672
5877,244699941.86108398,244854460.3715375,244975744.48437017,244893020.7622046,241039208.47029167
5878,250579321.48535156,246076446.7864078,246341660.70676377,246220636.59079057,244699941.8609639
5879,246275724.7631836,249012005.12382293,249119305.3327185,249107158.9144521,250579321.4852329
5880,247556104.609375,247404005.79509094,247331822.42310685,247355141.2657503,246275724.76316163
5881,248499984.62963867,247896098.4525963,247985410.6850299,247929907.4792884,247556104.60934255
5882,243034894.375,248424613.67289716,248456698.19217,248444986.03900075,248499984.62960863
5883,244550285.70581055,245795413.23337996,245808205.81059963,245770136.94371107,243034894.37501413
5884,248206189.9555664,246074602.08216274,246266761.71547207,246160863.97255242,244550285.70587277
5885,246896160.96264648,247778476.85712978,247888372.45677146,247851986.76200247,248206189.95545465
5886,243132307.07714844,247410803.58618185,247404847.7675409,247402997.99877703,246896160.9627595
5887,243267491.1459961,245564338.17002988,245621535.63975334,245564290.20045745,243132307.0772587
5888,245431567.9753418,245263490.97125027,245438763.2373507,245339246.4318952,243267491.1459053
5889,250544005.24316406,246121710.34407032,246266464.4280423,246200113.51937044,245431567.9754081
5890,251031390.03076172,248754790.5971263,248815473.42655852,248807738.4176509,250544005.24307856
5891,253086635.19555664,249524886.46838942,249425008.1528118,249477473.75920677,251031390.03064188
5892,248893701.06469727,250819215.64208436,250722935.25210795,250763846.0686245,253086635.1955392
5893,251654284.73168945,249114602.42629346,248964305.66819897,249003333.80855387,248893701.0647187
5894,252890871.74267578,250333232.756296,250338788.00360984,250324075.72698492,251654284.7316923
5895,251639973.18017578,251103498.41616392,250998637.70562568,251045573.46816912,252890871.74269843
5896,256017044.03173828,250780815.3267311,250660083.64332473,250701220.28252724,251639973.18015844
5897,253140318.42700195,252954035.55318764,252875010.01779178,252915545.41220257,256017044.031807
5898,252666315.99560547,252023285.30776498,251809556.838228,251896510.0284201,253140318.42693657
5899,253226675.08422852,251779969.28343093,251687959.11240265,251709278.74692327,252666315.9954924
5900,245091525.0324707,252035475.28677526,251951934.8209803,251983071.88424754,253226675.08433005
5901,246037070.38671875,248107553.37244117,248025121.4337255,248019764.71360576,245091525.0324324
5902,249294743.69873047,247837729.4630447,248022148.70015973,247912735.45201123,246037070.38668016
5903,244707419.98242188,249179116.01856783,249291017.86148706,249256858.02210897,249294743.69877788
5904,244740498.33813477,247033568.52218914,247041371.40003857,247022089.4317306,244707419.98254016
5905,248858108.88720703,246655575.71311224,246819468.6712768,246726634.86219868,244740498.33808655
5906,256049009.7902832,248473364.46348828,248605352.65964714,248561872.3862377,248858108.8871961
5907,246610501.00805664,252225069.12879962,252200185.1082336,252250641.40677,256049009.79034483
5908,250833896.4633789,248355339.6386419,248125229.8023166,248196266.19750234,246610501.00803733
5909,251615502.62890625,249960381.5666566,250067375.19958746,249998467.84776574,250833896.46340403
5910,245068236.84985352,250540661.8695839,250474637.1796809,250512540.661409,251615502.62897345
5911,257668296.37670898,247477462.71050167,247417225.76687887,247405381.67638054,245068236.8497846
5912,252295105.73291016,253167676.83680123,253302965.57955924,253271238.87427965,257668296.37673163
5913,251675473.06689453,251496669.1802609,251206521.2670725,251344277.84401923,252295105.7328064
5914,246726292.00073242,251146813.47730353,251088758.59839055,251084884.94615555,251675473.06698817
5915,249187159.73657227,248709015.51736814,248666686.04448053,248654516.75236017,246726292.0007533
5916,249853979.9597168,249460399.61468753,249578070.47656867,249516978.69840184,249187159.73657435
5917,250493264.22558594,249778939.40078047,249791952.84506926,249794982.54290825,249853979.95975477
5918,254560463.4104004,250093055.30368316,250087695.38281453,250090587.24743575,250493264.22568905
5919,252092946.63964844,252125811.98544538,252087899.21162432,252117940.0034897,254560463.4104184
5920,255277616.3564453,251350678.5410824,251190660.11532274,251255807.00952718,252092946.63972837
5921,256693752.41870117,252894794.74192414,252828345.29649243,252854752.54417893,255277616.35652316
5922,255750425.2302246,253957032.23131537,253782678.77539402,253869837.98609728,256693752.4188188
5923,252177486.92456055,253822135.61470872,253625145.11853036,253705485.5490372,255750425.2302024
5924,249232282.4567871,252178788.49917477,252032554.71978515,252070030.37014636,252177486.92445275
5925,253456314.2705078,250537479.43415982,250520757.242047,250499018.5248645,249232282.4568255
5926,249850850.95263672,252271471.55387518,252336363.96646547,252318262.39528242,253456314.27047196
5927,252933502.09716797,250677601.81157523,250593897.14992076,250627175.11667812,249850850.95267096
5928,250464052.02441406,251955346.7441246,252000229.2577572,251982843.83636233,252933502.0971957
5929,251664044.79638672,250908300.51901194,250841552.737468,250870099.60237864,250464052.0244648
5930,248991744.11450195,251323222.8089745,251345666.8879444,251331181.78826058,251664044.79628277
5931,257530307.71484375,250070364.52092022,250048493.44686306,250048862.529222,248991744.1144871
5932,254003484.8088379,254056273.98004872,254113391.12978017,254120035.02227485,257530307.71477732
5933,247431192.23046875,252998000.02700505,252769588.19028306,252882069.11467722,254003484.8089017
