idx,truth,norros_f,linearP_f,farima_f,persist
5808,230379679.73632812,233661291.12001073,233609979.69375762,233597601.14705786,232553186.9298793
5809,228941507.13061523,232155085.47232562,232263811.75691813,232146183.51722884,230379679.7363229
5810,235358354.68530273,230987660.08281866,231164464.17118028,231027429.51868045,228941507.1306557
5811,232988203.18164062,234504255.62895894,234780413.68136472,234771804.65390122,235358354.68536243
5812,236726472.24609375,233503661.09387037,233408044.81934685,233470675.52930468,232988203.1815296
5813,232424938.64233398,235692109.5921601,235803237.79351628,235829702.18535435,236726472.24612227
5814,233413236.95996094,233448890.79710203,233307197.27890003,233333455.70425197,232424938.6422598
5815,228450696.43115234,233823019.34256744,233954040.57361966,233891370.7476122,233413236.95999745
5816,231873297.01635742,230807606.86275765,230799713.895641,230708407.55293417,228450696.43120497
5817,236263109.64208984,232375900.296278,232659624.78205395,232553072.69784218,231873297.0162646
5818,237729462.04882812,235026876.40394816,235114672.2001564,235201851.39906168,236263109.6420655
5819,236667319.89746094,236278757.3096675,236175456.72625774,236315618.38270655,237729462.04892924
5820,234481138.97387695,235971361.92522812,235822523.71712,235912318.51934114,236667319.8974913
5821,238380677.7211914,234753651.60740504,234663221.41050717,234673632.52450466,234481138.9738188
5822,242151371.14257812,236936318.6173417,236989904.66354015,237046875.3032932,238380677.72130036
5823,244373427.73168945,239484651.30292445,239353534.24518645,239557521.38568848,242151371.14263237
5824,245036338.01757812,241335532.71071637,241075236.8476734,241325590.95448148,244373427.7315825
5825,239224811.60791016,242214582.62250817,241891704.13719633,242134045.52826902,245036338.01762223
5826,240719270.79174805,239102071.2216736,238738369.2331729,238843373.4940657,239224811.60799637
5827,239024903.60058594,239667996.43301395,239637121.11953032,239666503.5361717,240719270.79162744
5828,240401750.0830078,238689393.83815086,238527503.11298534,238607145.43429625,239024903.60070443
5829,240755826.45092773,239382124.55883154,239337961.6320711,239399293.22413367,240401750.0830196
5830,244669928.23706055,239681463.29565486,239554340.08042118,239662075.57264084,240755826.450938
5831,239618906.97973633,242129194.25237608,242037051.21963963,242206041.5230609,244669928.2370255
5832,236643956.33398438,239535285.91849235,239209145.2436979,239333638.72394332,239618906.9796273
5833,236388285.74169922,237512910.43526614,237464003.12266684,237410109.67082703,236643956.33386996
